#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Zerofees Southland Sharks,19,40.0,102.3,39.0,78.2,0.499,9.2,25.4,0.361,15.1,22.3,0.678,14.9,31.1,46.0,18.7,6.6,3.2,14.1,19.2
2,Wellington Saints,20,40.0,98.3,36.2,76.9,0.471,10.3,30.8,0.335,15.6,20.2,0.772,13.0,28.9,41.8,20.0,9.7,2.4,11.0,16.0
3,IMS Payroll Hawks,20,40.0,96.7,35.7,75.0,0.475,13.8,36.0,0.383,11.6,15.9,0.73,8.3,29.9,38.2,19.5,6.6,2.8,13.0,16.8
4,Tasmania Southern Huskies,18,40.0,90.4,34.4,76.8,0.448,6.9,24.3,0.283,14.7,21.2,0.696,12.8,29.5,42.3,14.4,7.6,3.3,12.8,17.1
5,Nelson Giants,18,40.0,89.6,34.3,73.3,0.468,9.2,27.8,0.332,11.8,18.6,0.638,11.3,26.3,37.6,14.6,8.3,2.4,13.6,18.8
6,Telecom Business Hub Jets,18,40.0,88.0,33.3,77.1,0.433,8.2,29.9,0.273,13.2,19.5,0.675,10.6,28.9,39.4,15.1,5.9,2.6,13.4,15.6
7,Canterbury Rams,19,40.0,86.2,33.4,71.1,0.47,8.9,23.4,0.382,10.5,15.1,0.697,10.8,29.7,40.5,20.1,6.4,2.5,12.4,16.4
8,Super City Rangers,18,40.0,83.2,31.9,75.7,0.422,7.6,27.1,0.279,11.8,19.3,0.611,9.1,25.1,34.2,13.6,9.6,3.5,12.3,15.0
9,Taranaki Mountain Airs,18,40.0,83.2,31.7,73.7,0.43,9.8,28.1,0.349,10.0,15.9,0.629,10.1,23.5,33.6,12.6,8.2,2.3,15.4,18.7
