#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Taranaki Mountain Airs,16,40.6,98.5,37.8,77.6,0.487,8.9,23.9,0.372,14.1,17.6,0.804,10.6,32.4,42.9,17.9,6.5,3.4,14.7,17.7
2,Telecom Business Hub Jets,17,40.0,94.6,35.2,77.5,0.454,12.1,36.5,0.332,12.0,17.5,0.685,9.2,30.4,39.6,17.9,8.6,2.5,14.2,18.9
3,Otago Nuggets,17,40.0,92.6,34.4,72.7,0.473,11.2,31.4,0.356,12.6,18.2,0.693,8.6,29.1,37.7,19.9,9.2,3.1,14.2,16.4
4,Canterbury Rams,17,40.0,86.5,32.4,72.1,0.45,6.8,19.1,0.354,14.9,19.8,0.754,10.5,29.9,40.5,15.2,7.1,3.1,15.4,17.9
5,Tasmania Southern Huskies,15,40.4,86.1,31.2,76.9,0.406,10.8,30.2,0.358,12.9,18.3,0.702,10.3,30.5,40.8,16.9,9.3,2.9,13.1,17.6
6,Nelson Giants,15,40.4,84.0,32.5,73.3,0.443,7.9,24.3,0.323,11.2,16.8,0.667,9.7,27.0,36.7,14.3,7.2,2.3,14.9,16.3
7,Franklin Bulls,15,39.9,82.7,31.1,71.7,0.433,10.3,30.9,0.333,10.3,15.3,0.672,8.5,27.8,36.3,15.4,8.9,3.0,11.9,18.3
