#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Zerofees Southland Sharks,20,40.0,101.1,38.4,78.3,0.49,8.0,21.9,0.366,16.4,21.8,0.752,13.0,28.6,41.6,19.3,6.1,2.6,11.8,18.6
2,Nelson Giants,19,40.3,95.0,34.2,72.1,0.474,10.6,29.1,0.363,16.1,21.0,0.767,13.2,25.6,38.8,18.9,7.6,2.2,13.4,18.4
3,Wellington Saints,20,39.6,92.8,34.2,70.9,0.483,8.3,24.3,0.342,16.1,20.8,0.774,10.2,26.3,36.5,17.1,7.0,2.6,10.2,16.6
4,Canterbury Rams,18,41.1,91.8,34.4,75.1,0.459,7.6,23.1,0.327,15.3,20.2,0.758,11.4,25.8,37.3,18.1,8.8,2.6,12.2,19.9
5,Super City Rangers,18,40.0,90.4,34.6,71.9,0.481,6.9,20.0,0.344,14.3,19.8,0.723,10.6,24.2,34.8,19.9,7.6,3.3,13.8,18.3
6,IMS Payroll Hawks,19,40.3,88.1,32.7,69.1,0.474,9.3,26.0,0.358,13.3,18.7,0.713,10.6,26.6,37.3,15.9,4.9,1.9,12.9,17.7
7,Telecom Business Hub Jets,18,40.8,86.4,32.1,77.5,0.414,7.6,28.7,0.266,14.7,20.8,0.707,10.9,24.8,35.7,13.0,6.6,2.3,10.9,18.3
8,Taranaki Mountain Airs,18,39.8,80.6,29.9,69.4,0.43,8.4,23.9,0.351,12.4,18.2,0.685,9.6,25.1,34.6,16.7,6.2,3.5,13.3,16.7
