#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Philadelphia,82,48.2,121.9,47.7,101.8,0.469,26.4,35.2,0.752,25.9,26.8,1970,NBA,0
2,Washington,82,48.5,120.7,47.9,104.5,0.458,25.0,32.3,0.773,22.9,23.1,1970,NBA,0
3,Phoenix,82,48.3,119.3,44.8,95.8,0.468,29.7,39.9,0.744,25.3,26.6,1970,NBA,0
4,Milwaukee,82,48.2,118.8,47.8,98.1,0.488,23.1,31.6,0.732,26.4,24.0,1970,NBA,0
5,San Diego,82,48.2,118.7,47.1,108.1,0.436,24.4,33.3,0.733,24.8,25.6,1970,NBA,0
6,Atlanta,82,48.2,117.6,46.5,96.4,0.483,24.5,32.5,0.754,26.1,24.6,1970,NBA,0
7,Cincinnati,82,48.5,117.3,45.9,100.9,0.455,25.4,34.6,0.733,24.3,27.0,1970,NBA,0
8,Seattle,82,48.2,116.9,45.2,97.9,0.462,26.5,34.8,0.761,27.0,26.5,1970,NBA,0
9,New York,82,48.1,115.0,46.4,97.3,0.477,22.2,30.3,0.733,26.0,24.6,1970,NBA,1
10,Chicago,82,48.5,114.9,44.0,99.2,0.444,26.9,34.9,0.772,26.0,22.7,1970,NBA,0
11,Boston,82,48.2,114.9,44.5,100.4,0.443,26.0,33.1,0.786,22.9,28.3,1970,NBA,0
12,L.A. Lakers,82,48.4,113.7,44.7,97.0,0.461,24.3,32.2,0.754,24.8,23.1,1970,NBA,0
13,Detroit,82,48.4,112.8,43.5,93.4,0.466,25.8,35.1,0.734,20.8,23.5,1970,NBA,0
14,Golden State,82,48.4,111.1,43.4,100.3,0.432,24.4,32.3,0.757,22.7,25.0,1970,NBA,0
