#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Rochester,60,84.0,30.2,81.2,0.372,23.7,34.3,0.689,21.0,25.7,1949,NBA,0
2,Minneapolis,60,84.0,31.4,85.8,0.366,21.2,29.3,0.723,18.9,23.1,1949,NBA,1
3,Chicago,60,84.0,31.8,95.8,0.331,20.5,29.6,0.692,20.3,28.9,1949,NBA,0
4,Philadelphia,60,83.7,30.5,94.9,0.322,22.7,31.6,0.717,17.4,24.3,1949,NBA,0
5,Baltimore,60,83.6,28.9,86.0,0.336,25.8,34.2,0.753,16.7,28.8,1949,NBA,0
6,Washington,60,81.8,29.2,91.2,0.32,23.5,31.9,0.736,16.2,28.5,1949,NBA,0
7,New York,60,79.2,28.1,87.3,0.322,22.9,32.7,0.702,17.0,26.0,1949,NBA,0
8,Providence,60,78.5,29.2,90.5,0.322,20.1,29.0,0.693,17.1,22.5,1949,NBA,0
9,Boston,60,76.6,28.4,91.4,0.311,19.7,30.9,0.636,18.9,23.0,1949,NBA,0
10,St. Louis,60,75.8,27.7,81.0,0.341,20.5,29.5,0.694,21.2,24.7,1949,NBA,0
11,Indianapolis,60,74.7,27.0,89.5,0.302,20.7,30.0,0.69,20.4,23.2,1949,NBA,0
12,Fort Wayne,60,74.3,25.6,89.5,0.286,23.1,33.0,0.7,18.0,28.7,1949,NBA,0
