#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Cincinnati,80,114.7,44.0,97.0,0.453,26.8,35.4,0.759,24.0,26.7,1964,NBA,0
2,Boston,80,113.0,45.2,109.6,0.413,22.6,31.1,0.725,22.0,26.6,1964,NBA,1
3,New York,80,112.2,43.9,98.6,0.445,24.4,35.7,0.684,19.5,27.8,1964,NBA,0
4,Philadelphia,80,112.2,42.4,101.5,0.418,27.3,35.6,0.766,20.5,28.1,1964,NBA,0
5,Washington,80,111.9,43.2,98.3,0.44,25.5,37.0,0.688,17.8,25.9,1964,NBA,0
6,St. Louis,80,110.0,41.8,97.2,0.43,26.4,34.9,0.757,23.8,28.3,1964,NBA,0
7,L.A. Lakers,80,109.7,40.9,93.0,0.44,27.9,36.4,0.766,21.0,25.0,1964,NBA,0
8,Detroit,80,107.8,41.8,99.3,0.421,24.1,33.6,0.718,20.4,27.9,1964,NBA,0
9,Golden State,80,107.7,42.6,97.2,0.438,22.5,35.3,0.638,23.7,24.7,1964,NBA,0
