#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Boston,72,116.4,44.6,112.7,0.395,27.3,35.6,0.766,21.8,24.6,1959,NBA,1
2,Syracuse,72,113.1,42.4,104.0,0.407,28.4,36.7,0.774,18.6,27.2,1959,NBA,0
3,New York,72,110.3,39.8,99.6,0.399,30.8,38.9,0.791,19.2,26.4,1959,NBA,0
4,St. Louis,72,108.8,40.0,97.4,0.41,28.8,38.3,0.752,21.8,26.9,1959,NBA,0
5,Minneapolis,72,106.0,38.6,98.4,0.392,28.8,37.8,0.762,19.1,26.0,1959,NBA,0
6,Detroit,72,105.1,39.0,101.5,0.385,27.0,36.5,0.74,18.3,26.1,1959,NBA,0
7,Philadelphia,72,103.3,39.3,103.1,0.381,24.8,33.7,0.735,19.1,24.7,1959,NBA,0
8,Cincinnati,72,103.1,39.6,101.9,0.389,23.8,33.0,0.721,19.0,25.8,1959,NBA,0
