#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Golden State,82,48.4,109.8,45.0,97.3,0.462,19.8,26.3,0.751,16.5,35.5,52.0,24.9,11.3,5.1,19.7,24.7,1976,NBA,0
2,Buffalo,82,48.1,107.3,42.5,89.1,0.476,22.4,28.9,0.774,12.2,33.2,45.4,25.8,8.8,4.5,21.3,24.6,1976,NBA,0
3,L.A. Lakers,82,48.1,106.9,43.3,93.0,0.465,20.4,26.4,0.772,13.8,35.0,48.8,23.6,8.2,6.4,19.7,24.7,1976,NBA,0
4,Philadelphia,82,48.4,106.5,42.2,94.5,0.447,22.1,30.1,0.733,16.9,32.7,49.6,20.2,9.9,4.5,21.1,26.7,1976,NBA,0
5,Seattle,82,48.2,106.4,43.2,94.3,0.458,20.0,28.2,0.711,14.8,30.5,45.3,23.6,10.6,4.3,19.7,26.0,1976,NBA,0
6,Boston,82,48.2,106.2,43.0,96.4,0.446,20.2,25.9,0.78,16.7,36.2,52.9,24.1,6.8,3.2,19.6,24.4,1976,NBA,1
7,Houston,82,48.2,106.2,43.2,89.1,0.485,19.7,25.0,0.79,12.9,32.2,45.2,27.0,8.0,4.4,20.3,24.9,1976,NBA,0
8,Phoenix,82,48.5,105.1,41.7,88.4,0.472,21.7,28.5,0.762,13.5,31.2,44.7,25.4,10.4,4.3,22.6,24.6,1976,NBA,0
9,Detroit,82,48.2,104.9,43.0,92.7,0.464,19.0,25.0,0.76,14.7,31.0,45.7,21.4,9.6,4.0,19.7,25.4,1976,NBA,0
10,New Orleans,82,48.5,104.1,40.9,91.4,0.447,22.3,29.5,0.758,14.5,33.9,48.4,21.5,9.1,4.2,20.2,26.5,1976,NBA,0
11,Portland,82,48.1,104.1,41.7,88.9,0.469,20.7,28.7,0.723,13.6,34.7,48.3,25.5,9.5,5.0,22.8,25.5,1976,NBA,0
12,Kansas City,82,48.2,103.3,40.7,90.0,0.453,21.9,28.5,0.767,13.8,32.5,46.4,22.7,9.2,4.0,19.6,25.1,1976,NBA,0
13,Washington,82,48.5,102.8,41.7,88.2,0.472,19.5,27.0,0.72,12.4,34.3,46.7,22.2,8.5,5.9,20.4,23.4,1976,NBA,0
14,New York,82,48.3,102.7,42.0,92.1,0.456,18.7,24.2,0.772,12.5,33.2,45.7,20.2,7.0,3.2,17.1,24.5,1976,NBA,0
15,Atlanta,82,48.3,102.6,40.3,89.5,0.45,22.1,30.1,0.733,14.9,31.0,45.9,20.3,9.6,3.4,18.9,24.2,1976,NBA,0
16,Milwaukee,82,48.4,101.8,42.1,90.7,0.465,17.5,23.8,0.736,13.3,32.8,46.1,22.2,8.7,5.7,19.8,24.9,1976,NBA,0
17,Cleveland,82,48.3,101.7,42.6,94.0,0.454,16.4,22.3,0.737,14.5,31.6,46.1,22.5,7.8,4.8,16.2,22.8,1976,NBA,0
18,Chicago,82,48.2,95.9,37.9,91.5,0.414,20.1,26.8,0.751,16.8,33.2,50.0,20.8,7.6,3.1,17.2,24.1,1976,NBA,0
