#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Cincinnati,80,48.3,114.2,43.5,97.5,0.447,27.1,35.8,0.757,23.0,24.9,1965,NBA,0
2,Washington,80,48.4,113.6,42.8,96.7,0.442,28.1,39.3,0.714,21.0,26.5,1965,NBA,0
3,Boston,80,48.2,112.8,44.6,107.6,0.414,23.6,32.3,0.731,22.2,25.8,1965,NBA,1
4,Philadelphia,80,48.2,112.5,42.4,100.4,0.422,27.8,37.6,0.738,21.2,26.2,1965,NBA,0
5,L.A. Lakers,80,48.4,111.9,41.7,95.4,0.437,28.5,37.3,0.763,20.0,25.0,1965,NBA,0
6,St. Louis,80,48.1,108.8,40.9,96.4,0.424,27.1,36.8,0.736,21.1,25.9,1965,NBA,0
7,Detroit,80,48.3,108.5,43.3,103.7,0.418,21.8,31.7,0.689,20.1,25.7,1965,NBA,0
8,New York,80,48.8,107.4,41.7,97.9,0.426,23.9,33.6,0.713,19.4,28.5,1965,NBA,0
9,Golden State,80,48.4,105.8,41.5,103.1,0.403,22.7,35.6,0.64,20.7,25.0,1965,NBA,0
