#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Boston,71,88.1,30.7,78.2,0.392,26.8,36.9,0.728,23.5,26.9,1953,NBA,0
2,Rochester,70,86.3,28.8,77.6,0.372,28.6,39.2,0.73,21.7,31.6,1953,NBA,0
3,Syracuse,71,85.6,27.4,75.1,0.364,30.9,41.5,0.745,20.5,30.0,1953,NBA,0
4,New York,70,85.5,29.4,76.3,0.386,26.7,37.9,0.704,22.5,29.3,1953,NBA,0
5,Minneapolis,70,85.3,30.9,79.4,0.39,23.4,31.7,0.739,19.3,27.4,1953,NBA,1
6,Baltimore,70,84.4,29.8,80.2,0.371,24.9,36.3,0.686,21.6,30.6,1953,NBA,0
7,Fort Wayne,69,81.0,27.2,75.8,0.359,26.7,36.1,0.738,20.8,30.7,1953,NBA,0
8,Philadelphia,69,80.2,28.8,80.4,0.358,22.6,33.3,0.679,21.9,27.0,1953,NBA,0
9,Milwaukee,71,75.9,26.4,74.9,0.352,23.1,33.8,0.685,20.1,29.9,1953,NBA,0
10,Indianapolis,71,74.6,25.8,73.3,0.351,23.1,32.1,0.719,18.0,24.9,1953,NBA,0
