#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Philadelphia,82,48.2,122.6,48.4,102.6,0.471,25.9,40.7,0.635,26.8,22.6,1968,NBA,0
2,L.A. Lakers,82,48.4,121.2,46.7,97.9,0.477,27.8,38.3,0.726,24.2,26.2,1968,NBA,0
3,Seattle,82,48.2,118.7,46.0,104.8,0.439,26.7,37.1,0.719,24.4,28.9,1968,NBA,0
4,Detroit,82,48.2,118.6,45.8,102.3,0.448,27.0,38.2,0.708,20.7,27.3,1968,NBA,0
5,Washington,82,48.2,117.4,45.0,102.8,0.438,27.4,36.5,0.75,18.7,25.9,1968,NBA,0
6,Golden State,82,48.3,117.0,44.3,104.7,0.423,28.5,38.5,0.74,23.2,27.6,1968,NBA,0
7,Cincinnati,82,48.3,116.6,44.9,95.9,0.468,26.9,35.3,0.762,25.0,24.6,1968,NBA,0
8,New York,82,48.5,116.1,44.9,98.4,0.456,26.3,37.1,0.71,24.0,28.8,1968,NBA,0
9,Boston,82,48.1,116.1,45.0,102.1,0.44,26.2,36.4,0.721,21.9,26.2,1968,NBA,1
10,St. Louis,82,48.5,113.0,42.7,94.7,0.451,27.5,37.9,0.726,24.2,25.0,1968,NBA,0
11,San Diego,82,48.2,112.4,43.5,104.2,0.417,25.4,35.7,0.711,22.4,26.7,1968,NBA,0
12,Chicago,82,48.3,109.5,42.5,99.2,0.429,24.5,33.1,0.738,18.6,26.0,1968,NBA,0
