#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Boston,72,105.5,39.0,101.8,0.383,27.5,36.7,0.75,20.3,25.7,1957,NBA,1
2,Minneapolis,72,102.3,35.9,96.7,0.371,30.5,40.3,0.757,16.6,26.2,1957,NBA,0
3,New York,72,100.8,35.7,92.3,0.387,29.4,39.5,0.744,18.2,25.3,1957,NBA,0
4,Philadelphia,72,100.4,35.9,90.7,0.396,28.6,36.9,0.776,20.4,24.1,1957,NBA,0
5,Syracuse,72,99.7,35.4,96.0,0.369,28.8,36.3,0.794,17.8,25.1,1957,NBA,0
6,St. Louis,72,98.5,35.5,92.6,0.383,27.5,37.6,0.73,20.2,25.7,1957,NBA,0
7,Fort Wayne,72,96.4,35.2,91.8,0.383,26.0,34.9,0.747,19.4,22.8,1957,NBA,0
8,Rochester,72,93.4,34.9,94.5,0.369,23.6,33.4,0.707,18.0,25.9,1957,NBA,0
