#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Syracuse,80,121.6,46.1,103.6,0.445,29.4,37.6,0.782,21.8,28.5,1963,NBA,0
2,Cincinnati,80,119.1,45.9,100.0,0.459,27.3,36.5,0.747,24.1,27.5,1963,NBA,0
3,Boston,80,118.8,46.8,109.7,0.427,25.2,34.7,0.725,24.5,26.1,1963,NBA,1
4,Golden State,80,118.5,47.6,105.6,0.45,23.4,35.0,0.669,23.8,23.5,1963,NBA,0
5,L.A. Lakers,80,115.5,43.8,99.4,0.441,27.9,36.6,0.761,21.7,22.2,1963,NBA,0
6,Detroit,80,113.9,44.2,102.4,0.432,25.6,35.7,0.717,21.6,27.3,1963,NBA,0
7,New York,80,110.5,42.9,100.1,0.429,24.6,34.7,0.71,20.7,26.8,1963,NBA,0
8,Chicago,80,109.9,42.1,93.1,0.453,25.7,36.8,0.697,22.2,25.8,1963,NBA,0
9,St. Louis,80,109.6,41.9,97.3,0.431,25.7,35.3,0.729,23.8,26.0,1963,NBA,0
