#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Syracuse,79,121.3,46.3,110.7,0.418,28.8,37.3,0.773,22.6,28.9,1961,NBA,0
2,Philadelphia,79,121.0,47.7,112.4,0.424,25.6,39.3,0.651,24.8,24.5,1961,NBA,0
3,Boston,79,119.7,46.8,117.7,0.398,26.1,35.5,0.735,23.7,25.7,1961,NBA,1
4,St. Louis,79,118.8,45.8,111.3,0.411,27.2,37.0,0.735,27.0,27.0,1961,NBA,0
5,Detroit,79,118.6,44.1,105.8,0.417,30.5,41.0,0.743,23.6,27.3,1961,NBA,0
6,Cincinnati,79,117.9,45.9,104.8,0.438,26.1,34.9,0.746,26.7,27.3,1961,NBA,0
7,L.A. Lakers,79,114.0,43.1,106.7,0.403,27.9,38.0,0.735,21.9,25.9,1961,NBA,0
8,New York,79,113.7,43.3,105.7,0.41,27.0,35.9,0.752,23.1,28.1,1961,NBA,0
