#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Boston,72,87.7,31.0,77.5,0.4,25.7,35.4,0.726,24.6,27.3,1954,NBA,0
2,Syracuse,72,83.5,28.5,77.5,0.368,26.5,36.8,0.719,21.4,25.7,1954,NBA,0
3,Minneapolis,72,81.7,30.3,80.6,0.376,21.0,28.7,0.731,18.4,26.6,1954,NBA,1
4,Rochester,72,79.8,27.9,75.7,0.369,23.9,35.0,0.684,20.2,26.4,1954,NBA,0
5,New York,72,79.0,26.9,71.9,0.374,25.3,35.1,0.721,20.4,25.4,1954,NBA,0
6,Baltimore,72,78.3,28.3,76.9,0.368,21.8,32.1,0.677,19.2,24.7,1954,NBA,0
7,Philadelphia,72,78.2,28.1,75.4,0.372,22.0,31.6,0.698,20.4,24.2,1954,NBA,0
8,Fort Wayne,72,77.7,27.1,72.0,0.376,23.5,32.2,0.73,20.5,23.2,1954,NBA,0
9,Milwaukee,72,70.0,24.4,70.7,0.345,21.2,30.6,0.692,18.0,24.6,1954,NBA,0
