#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Boston,72,106.0,38.1,96.0,0.397,29.8,38.7,0.769,25.5,26.0,1956,NBA,0
2,Philadelphia,72,103.1,36.7,89.4,0.41,29.8,39.3,0.757,26.2,26.0,1956,NBA,1
3,New York,72,100.2,34.8,88.8,0.392,30.5,40.5,0.754,22.4,26.7,1956,NBA,0
4,Minneapolis,72,99.3,35.3,90.9,0.388,28.7,36.5,0.786,23.5,27.5,1956,NBA,0
5,Syracuse,72,96.9,34.3,92.5,0.37,28.4,37.5,0.756,23.8,24.8,1956,NBA,0
6,St. Louis,72,96.6,34.8,92.1,0.378,27.0,38.3,0.703,24.3,27.4,1956,NBA,0
7,Rochester,72,95.8,35.4,95.7,0.37,25.0,35.7,0.7,24.3,27.6,1956,NBA,0
8,Fort Wayne,72,94.4,33.3,85.8,0.388,27.8,37.9,0.734,24.3,24.8,1956,NBA,0
