#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Philadelphia,80,125.4,49.0,111.6,0.439,27.5,40.1,0.686,25.9,25.2,1962,NBA,0
2,Cincinnati,80,123.1,47.6,105.2,0.452,27.9,37.1,0.752,26.9,26.0,1962,NBA,0
3,Boston,80,121.1,48.2,113.9,0.423,24.7,33.9,0.728,25.6,23.9,1962,NBA,1
4,Syracuse,80,120.7,46.3,110.9,0.418,28.1,36.0,0.78,22.4,29.3,1962,NBA,0
5,St. Louis,80,118.9,45.5,105.8,0.43,27.8,36.7,0.757,25.0,27.1,1962,NBA,0
6,L.A. Lakers,80,118.5,44.4,103.9,0.427,29.7,40.5,0.734,23.5,25.7,1962,NBA,0
7,Detroit,80,115.4,43.4,104.6,0.415,28.6,39.3,0.729,21.5,25.5,1962,NBA,0
8,New York,80,114.8,45.5,108.7,0.418,23.9,33.7,0.71,22.1,25.7,1962,NBA,0
9,Chicago,80,110.9,43.3,105.1,0.412,24.4,36.3,0.673,22.5,24.4,1962,NBA,0
