#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,L.A. Lakers,80,48.1,119.5,45.0,101.4,0.444,29.5,38.2,0.773,24.2,25.4,1966,NBA,0
2,Washington,80,48.1,118.3,45.0,102.6,0.438,28.3,39.8,0.712,23.6,27.5,1966,NBA,0
3,Cincinnati,80,48.2,117.8,45.1,101.5,0.444,27.6,36.3,0.758,22.7,25.4,1966,NBA,0
4,Philadelphia,80,48.1,117.3,45.6,102.4,0.446,26.1,39.3,0.664,23.8,26.2,1966,NBA,0
5,New York,80,48.2,116.7,44.5,98.9,0.45,27.7,38.5,0.72,23.7,27.8,1966,NBA,0
6,Golden State,80,48.1,115.5,44.5,106.4,0.418,26.6,36.0,0.739,23.4,25.9,1966,NBA,0
7,Boston,80,48.1,112.7,43.6,104.6,0.417,25.5,34.5,0.739,22.4,25.2,1966,NBA,1
8,St. Louis,80,48.0,111.4,42.2,98.0,0.431,26.9,35.9,0.751,22.3,27.2,1966,NBA,0
9,Detroit,80,48.0,110.3,43.4,106.3,0.409,23.5,34.2,0.687,19.6,25.2,1966,NBA,0
