#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Boston,72,101.5,36.2,90.7,0.399,29.1,37.6,0.776,26.5,25.8,1955,NBA,0
2,Minneapolis,72,95.6,34.8,89.8,0.388,26.0,35.0,0.744,20.4,26.9,1955,NBA,0
3,Philadelphia,72,93.2,33.2,86.6,0.384,26.8,36.5,0.734,24.2,23.8,1955,NBA,1
4,New York,72,92.7,33.2,85.4,0.389,26.2,36.0,0.728,24.2,22.0,1955,NBA,0
5,Fort Wayne,72,92.4,32.4,83.1,0.39,27.6,37.6,0.733,24.1,24.3,1955,NBA,0
6,Syracuse,72,91.1,32.8,88.1,0.372,25.5,34.0,0.75,24.7,23.0,1955,NBA,0
7,Rochester,72,90.8,33.3,83.6,0.399,24.1,33.6,0.718,23.5,25.9,1955,NBA,0
8,Milwaukee,72,87.4,30.4,83.9,0.362,26.6,37.1,0.717,21.4,26.4,1955,NBA,0
