#,Team,GP,PPG,FGM,FGA,FG%,FTM,FTA,FT%,APG,PF,Year,League_Name,is_Champion
1,Chicago,48,75.8,29.0,97.6,0.297,17.9,27.2,0.659,9.0,23.7,1948,NBA,0
2,New York,48,74.5,28.2,98.4,0.287,18.1,26.9,0.672,7.8,22.4,1948,NBA,0
3,Baltimore,48,74.4,26.8,89.2,0.301,20.7,30.1,0.689,6.7,22.5,1948,NBA,1
4,Washington,48,73.7,27.8,99.7,0.279,18.0,25.1,0.719,6.4,22.6,1948,NBA,0
5,Philadelphia,48,73.4,26.6,101.6,0.262,20.1,28.1,0.714,7.0,19.5,1948,NBA,0
6,St. Louis,48,71.5,27.0,94.8,0.285,17.5,25.9,0.674,4.5,21.9,1948,NBA,0
7,Providence,48,69.1,26.4,96.5,0.274,16.3,26.6,0.613,7.2,23.0,1948,NBA,0
8,Boston,48,68.8,25.9,90.1,0.287,17.1,26.0,0.659,7.6,22.2,1948,NBA,0
