#,Team,GP,MPG,PPG,FGM,FGA,FG%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Philadelphia,82,48.4,114.7,44.2,91.1,0.486,26.3,34.9,0.752,15.8,32.9,48.7,27.1,9.8,6.7,21.4,26.7,1978,NBA,0
2,San Antonio,82,48.2,114.5,46.3,92.6,0.5,21.9,27.2,0.804,12.6,31.6,44.2,27.3,9.7,6.7,20.3,22.8,1978,NBA,0
3,New York,82,48.8,113.4,46.5,95.4,0.488,20.4,27.1,0.751,14.4,32.8,47.2,28.5,10.0,5.4,21.5,26.7,1978,NBA,0
4,Milwaukee,82,48.7,112.4,46.4,96.1,0.482,19.7,27.1,0.726,15.1,30.2,45.4,28.1,10.6,5.8,20.5,24.9,1978,NBA,0
5,Phoenix,82,48.2,112.3,45.5,95.6,0.476,21.3,28.4,0.751,14.2,31.5,45.7,28.5,12.9,4.5,21.5,23.9,1978,NBA,0
6,Denver,82,48.4,111.8,43.3,90.7,0.477,25.2,33.0,0.765,14.4,33.4,47.7,26.7,10.0,5.1,21.3,25.8,1978,NBA,0
7,Washington,82,48.4,110.3,43.7,94.8,0.461,23.0,32.4,0.711,16.5,34.3,50.8,23.8,8.1,4.7,19.7,22.9,1978,NBA,1
8,L.A. Lakers,82,48.3,110.3,45.5,93.6,0.487,19.2,25.5,0.752,13.9,32.3,46.1,27.2,9.8,5.0,18.9,24.0,1978,NBA,0
9,Kansas City,82,48.4,109.5,43.9,94.3,0.466,21.6,27.6,0.785,14.7,32.1,46.8,24.3,9.7,4.5,20.6,27.2,1978,NBA,0
10,Detroit,82,48.4,109.0,43.3,90.5,0.478,22.3,30.4,0.736,15.0,31.7,46.7,22.4,10.6,4.0,22.7,24.1,1978,NBA,0
11,Indiana,82,48.4,108.6,42.7,94.9,0.45,23.2,31.3,0.743,16.9,32.0,48.9,24.2,9.9,5.6,20.0,27.2,1978,NBA,0
12,Portland,82,48.1,107.7,43.4,89.8,0.483,20.9,27.5,0.76,14.5,32.8,47.2,25.2,9.7,4.8,19.8,25.2,1978,NBA,0
13,New Orleans,82,48.2,107.6,43.5,94.1,0.462,20.6,28.4,0.725,16.0,35.5,51.4,25.4,8.1,6.3,20.7,23.6,1978,NBA,0
14,New Jersey,82,48.5,106.7,43.3,97.6,0.443,20.1,28.1,0.717,15.9,31.6,47.6,22.9,10.5,7.7,21.6,28.2,1978,NBA,0
15,Golden State,82,48.2,106.1,43.6,93.3,0.467,18.9,25.4,0.745,14.4,32.1,46.5,25.6,10.6,4.9,18.5,25.8,1978,NBA,0
16,Boston,82,48.4,105.7,42.6,93.1,0.458,20.5,26.3,0.779,15.1,34.8,49.8,24.0,7.8,3.6,20.1,24.8,1978,NBA,0
17,Buffalo,82,48.3,105.3,41.6,89.3,0.466,22.0,28.2,0.781,13.2,31.0,44.2,24.1,7.9,4.0,19.2,24.6,1978,NBA,0
18,Seattle,82,48.2,104.5,42.0,94.1,0.447,20.4,28.7,0.712,17.8,31.7,49.5,21.9,9.5,5.2,20.0,24.5,1978,NBA,0
19,Cleveland,82,48.5,104.4,42.6,94.0,0.454,19.1,25.8,0.741,14.5,32.6,47.1,21.2,8.4,5.5,16.9,22.3,1978,NBA,0
20,Chicago,82,48.2,103.9,40.6,85.9,0.473,22.7,30.1,0.754,15.2,31.4,46.6,25.8,8.1,3.9,20.3,23.5,1978,NBA,0
21,Houston,82,48.1,103.8,43.0,93.8,0.458,17.9,23.1,0.774,15.9,29.5,45.4,23.7,8.3,3.9,16.8,24.7,1978,NBA,0
22,Atlanta,82,48.4,103.7,40.7,88.5,0.46,22.4,28.2,0.793,14.1,28.8,42.9,23.2,11.2,5.0,19.4,30.1,1978,NBA,0
