#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Turow Zgorzelec,8,40.0,87.8,31.0,67.0,0.463,10.4,28.5,0.364,15.4,20.6,0.745,10.1,26.4,36.5,17.4,7.6,2.0,12.4,22.8,2015,Eurocup,0
2,Lietuvos Rytas,18,40.0,86.4,30.9,59.9,0.516,10.8,26.7,0.404,13.8,17.7,0.781,7.0,21.2,28.2,20.3,8.4,2.2,15.5,21.5,2015,Eurocup,0
3,Khimki,24,40.0,85.8,32.1,64.0,0.502,9.5,24.0,0.397,12.0,15.2,0.792,9.5,23.4,32.9,21.8,7.7,4.2,12.8,21.8,2015,Eurocup,1
4,Pinar Karsiyaka,20,40.5,81.8,29.6,62.2,0.475,9.7,23.5,0.414,13.0,17.9,0.728,8.9,22.3,31.2,17.7,8.1,2.2,13.8,20.4,2015,Eurocup,0
5,Gran Canaria,24,40.0,81.7,30.0,61.5,0.487,8.0,20.3,0.393,13.9,17.9,0.774,10.4,23.6,34.0,17.4,5.9,3.5,13.6,17.5,2015,Eurocup,0
6,Bayern Munich,8,40.0,81.5,30.4,61.4,0.495,6.8,19.0,0.355,14.0,17.8,0.789,8.4,22.4,30.8,17.6,6.6,1.1,11.9,21.1,2015,Eurocup,0
7,Cedevita,8,41.2,81.0,30.1,62.4,0.483,7.4,21.4,0.345,13.4,16.5,0.811,10.0,19.0,29.0,18.1,4.9,1.3,14.3,23.8,2015,Eurocup,0
8,Hapoel Bank Yahav Jerusalem,10,41.0,80.6,30.8,60.8,0.507,3.9,12.0,0.325,15.1,20.2,0.748,6.5,23.0,29.5,19.3,7.9,3.4,13.7,20.3,2015,Eurocup,0
9,CSU Asesoft Ploiesti,16,40.6,80.2,29.9,66.1,0.453,9.4,24.3,0.388,10.9,16.3,0.667,9.3,20.3,29.5,17.9,7.6,1.6,11.8,21.0,2015,Eurocup,0
10,Valencia Basket,10,40.0,80.0,28.9,63.3,0.457,9.3,23.9,0.389,12.9,16.1,0.801,9.9,22.2,32.1,19.0,7.0,1.4,11.0,19.4,2015,Eurocup,0
11,Union Olimpija,16,40.3,79.6,27.4,62.2,0.441,8.3,24.4,0.341,16.4,22.6,0.726,10.1,22.8,32.9,17.9,7.1,2.5,14.2,22.8,2015,Eurocup,0
12,Lokomotiv Kuban,20,40.0,79.1,29.7,60.3,0.493,7.0,18.3,0.383,12.7,17.1,0.743,8.6,24.3,32.9,16.9,7.5,3.6,13.3,20.3,2015,Eurocup,0
13,Casademont Zaragoza,16,40.9,79.1,27.0,59.3,0.456,8.4,22.5,0.375,16.6,20.4,0.816,7.4,23.0,30.4,17.7,7.0,1.1,13.4,18.3,2015,Eurocup,0
14,Virtus Roma,18,41.4,78.9,27.2,61.2,0.444,10.1,29.3,0.345,14.4,18.3,0.788,9.1,21.5,30.6,15.8,8.1,1.7,12.8,20.7,2015,Eurocup,0
15,Banco di Sardegna Sassari,6,40.0,78.3,28.2,66.3,0.425,9.8,30.8,0.319,12.2,16.5,0.737,8.7,19.5,28.2,14.3,7.2,2.8,12.0,20.3,2015,Eurocup,0
16,Neptunas,6,40.0,78.2,27.2,59.8,0.454,9.8,26.5,0.371,14.0,18.0,0.778,8.8,22.3,31.2,16.7,4.5,1.7,15.0,20.0,2015,Eurocup,0
17,Coosur Real Betis,16,40.4,78.1,27.9,59.7,0.467,7.9,21.7,0.363,14.4,18.9,0.765,7.5,23.4,30.9,15.9,8.1,2.4,14.4,19.1,2015,Eurocup,0
18,Zenit Saint Petersburg,18,40.6,77.8,28.6,64.2,0.445,5.3,17.9,0.297,15.3,20.1,0.76,10.3,22.4,32.7,17.6,7.6,3.1,12.7,20.4,2015,Eurocup,0
19,Teksut Bandirma,22,40.2,77.8,28.8,60.9,0.473,6.5,18.7,0.348,13.7,17.9,0.766,8.9,22.4,31.3,16.8,6.1,3.1,13.5,21.9,2015,Eurocup,0
20,Telenet BC Oostende,16,40.3,77.6,28.2,59.5,0.474,7.4,19.1,0.389,13.8,18.6,0.744,8.5,22.1,30.6,18.2,6.8,2.6,15.4,21.9,2015,Eurocup,0
21,Buducnost,16,40.3,77.6,27.3,59.9,0.456,8.6,24.0,0.357,14.4,19.8,0.728,7.8,21.4,29.1,18.7,7.7,1.0,15.6,23.5,2015,Eurocup,0
22,Telekom Baskets Bonn,10,40.5,77.4,28.1,62.0,0.453,9.5,26.2,0.363,11.7,17.2,0.68,8.0,20.2,28.2,17.1,8.4,1.2,13.2,22.6,2015,Eurocup,0
23,Krasny Oktyabr,16,40.3,76.9,27.7,58.2,0.476,7.6,21.4,0.353,13.9,18.7,0.746,7.3,22.4,29.8,17.8,7.1,1.7,14.0,19.6,2015,Eurocup,0
24,Boulogne-Levallois,20,40.3,76.9,29.0,64.7,0.449,8.3,23.9,0.348,10.6,15.4,0.685,9.3,24.9,34.1,18.7,6.0,2.9,12.4,21.6,2015,Eurocup,0
25,CEZ Nymburk,16,41.3,76.6,28.6,63.4,0.45,7.0,20.0,0.35,12.4,15.6,0.796,8.9,20.4,29.4,17.1,8.5,2.1,12.5,19.8,2015,Eurocup,0
26,Besiktas Icrypex,16,40.3,76.1,27.1,59.7,0.453,9.4,24.9,0.378,12.5,16.9,0.741,7.5,22.6,30.1,17.6,7.2,3.4,14.5,19.5,2015,Eurocup,0
27,UNICS Kazan,12,40.0,75.7,26.9,58.7,0.459,7.0,20.7,0.339,14.8,19.4,0.764,8.4,21.8,30.3,14.8,5.8,2.9,12.2,19.5,2015,Eurocup,0
28,Szolnoki Olaj,10,40.0,74.8,27.6,62.4,0.442,8.3,24.3,0.342,11.3,16.6,0.681,9.4,22.7,32.1,17.1,6.3,1.5,13.2,21.8,2015,Eurocup,0
29,Brose Baskets Bamberg,18,40.3,74.6,26.2,56.6,0.464,7.6,20.4,0.371,14.6,18.3,0.799,7.2,23.7,30.8,17.8,6.9,3.1,14.7,22.1,2015,Eurocup,0
30,Strasbourg IG,16,41.0,74.5,26.6,58.2,0.458,7.8,20.3,0.383,13.5,17.8,0.758,8.6,24.0,32.6,18.8,7.3,3.6,14.4,18.3,2015,Eurocup,0
31,ASVEL Basket,10,40.5,74.4,26.0,57.0,0.456,8.2,20.3,0.404,14.2,17.6,0.807,7.4,21.9,29.3,17.6,6.0,1.6,15.0,17.1,2015,Eurocup,0
32,Nancy Basket,16,40.0,74.2,28.1,62.1,0.452,6.9,21.1,0.325,11.2,15.3,0.734,9.6,24.2,33.8,16.5,6.8,3.9,14.9,19.9,2015,Eurocup,0
33,Acqua San Bernardo Cantu,18,40.0,73.8,27.1,61.7,0.438,7.2,22.2,0.323,12.5,16.9,0.74,8.3,23.6,31.8,12.8,6.8,2.1,13.6,19.3,2015,Eurocup,0
34,EWE Baskets Oldenburg,10,40.1,73.7,26.1,59.3,0.44,7.0,20.9,0.335,14.5,18.8,0.771,8.7,22.5,31.2,15.9,5.7,2.2,12.8,20.3,2015,Eurocup,0
35,Grissin Bon Reggio Emilia,10,40.0,73.5,24.6,60.9,0.404,9.8,28.1,0.349,14.3,19.5,0.733,8.5,19.0,27.5,15.1,7.2,2.3,11.3,20.3,2015,Eurocup,0
36,KK Partizan,10,40.5,73.4,26.9,61.9,0.435,6.9,20.2,0.342,12.7,16.1,0.789,11.6,23.4,35.0,17.1,5.2,1.6,16.0,21.3,2015,Eurocup,0
37,JDA Dijon Basket,16,40.3,72.7,26.8,59.8,0.448,7.8,22.3,0.351,11.4,15.3,0.746,7.6,19.6,27.3,14.8,7.3,1.6,12.3,20.8,2015,Eurocup,0
38,Artland Dragons,10,40.5,72.5,26.8,58.8,0.456,10.0,25.2,0.397,8.9,11.6,0.767,5.5,20.1,25.6,18.9,6.8,1.7,12.6,21.2,2015,Eurocup,0
39,Enea Zastal BC Zielona,10,40.0,72.2,26.6,62.6,0.425,6.7,21.2,0.316,12.3,16.2,0.759,8.9,21.2,30.1,15.8,7.3,1.0,15.8,21.9,2015,Eurocup,0
40,PAOK BC,16,40.9,71.7,24.0,57.4,0.418,8.1,23.7,0.34,15.6,20.6,0.76,5.7,22.8,28.5,15.9,7.0,2.4,13.6,21.9,2015,Eurocup,0
41,CSP Limoges,6,40.0,71.7,27.2,60.3,0.45,6.8,19.8,0.345,10.5,13.7,0.768,10.0,24.0,34.0,15.3,7.2,1.5,16.0,19.3,2015,Eurocup,0
42,Proximus Spirou Charleroi,10,40.0,70.5,26.2,63.2,0.415,7.4,22.1,0.335,10.7,13.8,0.775,9.1,20.6,29.7,12.3,7.3,1.9,13.5,21.2,2015,Eurocup,0
43,BC VEF Riga,10,40.0,70.5,26.1,61.3,0.426,7.7,23.2,0.332,10.4,15.4,0.675,8.2,20.8,29.0,17.8,6.7,2.1,16.2,21.0,2015,Eurocup,0
44,BK Ventspils,10,40.0,66.5,23.3,53.0,0.44,7.3,19.6,0.372,12.6,18.1,0.696,6.2,22.3,28.5,14.6,4.7,2.7,13.9,20.2,2015,Eurocup,0
