#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,PBC Lukoil Academic Sofia,12,41.7,84.2,29.6,57.7,0.513,7.3,21.3,0.34,17.8,25.2,0.705,8.9,24.8,33.8,11.8,7.6,3.6,15.2,21.6,2004,Eurocup,0
2,KK Crvena Zvezda,10,40.5,81.9,28.2,62.0,0.455,6.9,21.3,0.324,18.6,24.9,0.747,9.6,21.4,31.0,12.5,11.5,2.0,15.9,26.9,2004,Eurocup,0
3,Heroes Den Bosch,10,40.0,81.8,28.7,64.6,0.444,7.9,22.8,0.346,16.5,23.9,0.69,12.9,24.1,37.0,16.5,8.6,3.1,12.5,27.1,2004,Eurocup,0
4,Movistar Estudiantes,16,40.0,81.8,28.5,60.6,0.47,7.1,20.3,0.349,17.7,24.6,0.718,11.9,22.1,34.0,13.6,10.5,2.6,15.6,23.3,2004,Eurocup,0
5,Buducnost,10,39.5,81.4,26.9,57.8,0.465,7.9,23.6,0.335,19.7,28.7,0.686,11.5,18.9,30.4,11.5,8.2,2.2,14.3,21.3,2004,Eurocup,0
6,Hapoel Bank Yahav Jerusalem,17,40.0,81.3,29.1,59.1,0.492,6.7,16.9,0.396,16.5,21.3,0.773,8.6,17.6,26.2,12.8,10.2,1.4,11.6,22.8,2004,Eurocup,1
7,BK Ventspils,12,39.9,80.7,28.8,65.0,0.442,7.8,24.4,0.321,15.3,23.8,0.646,10.8,23.2,33.9,14.1,10.4,3.8,13.8,25.8,2004,Eurocup,0
8,FMP Beograd,16,40.5,80.4,28.9,56.4,0.512,6.4,18.5,0.345,16.3,23.9,0.679,7.3,21.1,28.4,11.4,7.3,4.5,13.8,22.4,2004,Eurocup,0
9,Lietuvos Rytas,14,40.0,80.3,28.9,57.3,0.505,8.0,21.4,0.375,14.4,20.3,0.711,8.6,22.5,31.1,11.9,7.6,3.4,13.6,20.9,2004,Eurocup,0
10,OpenJobMetis Varese,14,40.4,79.9,26.4,61.9,0.427,7.4,21.9,0.336,19.7,27.1,0.728,9.7,23.1,32.8,9.9,15.3,2.0,14.8,25.1,2004,Eurocup,0
11,Ionikos Nikaias BC,10,40.5,79.4,29.0,60.8,0.477,5.3,17.6,0.301,16.1,23.3,0.691,9.3,18.9,28.2,11.6,8.9,2.0,13.6,22.9,2004,Eurocup,0
12,KK Split,10,41.0,79.2,29.8,63.4,0.47,6.6,18.5,0.357,13.0,20.5,0.634,8.1,18.0,26.1,14.0,10.8,2.6,13.3,22.4,2004,Eurocup,0
13,Le Mans Sarthe Basket,10,41.0,79.1,26.7,58.5,0.456,7.6,18.7,0.406,18.1,24.4,0.742,9.3,22.7,32.0,17.7,7.7,3.9,16.2,21.3,2004,Eurocup,0
14,Brighton Bears,10,41.5,79.1,29.2,70.8,0.412,6.5,22.0,0.295,14.2,24.1,0.589,13.8,22.1,35.9,13.0,9.8,3.2,12.7,24.3,2004,Eurocup,0
15,Joventut Badalona,14,40.7,78.9,25.9,55.4,0.468,7.4,22.6,0.329,19.6,24.6,0.794,8.3,22.8,31.1,12.4,8.1,2.9,16.4,22.1,2004,Eurocup,0
