#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Marijampole Suduva-Arvi,39,40.4,85.9,30.8,62.1,0.496,8.8,24.7,0.358,15.5,20.7,0.749,8.5,23.2,31.8,21.5,8.7,2.0,13.7,19.3,2020,Lithuanian-NKL,1
2,Silute,39,39.9,85.6,32.3,68.9,0.469,7.4,21.8,0.342,13.5,20.5,0.659,11.5,24.3,35.9,19.6,10.0,3.1,13.8,20.3,2020,Lithuanian-NKL,0
3,Perlas Vilnius,38,40.4,84.9,31.4,68.9,0.456,8.3,24.6,0.338,13.8,19.9,0.691,11.0,23.5,34.5,18.0,8.9,2.8,15.7,21.0,2020,Lithuanian-NKL,0
4,Zalgris II,37,40.5,84.4,30.8,70.5,0.436,9.5,27.5,0.346,13.4,17.5,0.763,12.7,22.6,35.3,16.4,8.0,2.8,14.0,23.9,2020,Lithuanian-NKL,0
5,Telsiai,38,40.1,84.4,30.8,61.0,0.505,8.3,21.4,0.385,14.6,19.9,0.732,7.9,23.7,31.7,22.3,8.6,1.5,14.7,21.6,2020,Lithuanian-NKL,0
6,Mazeikiai,37,40.0,84.1,31.5,67.3,0.468,7.6,21.4,0.356,13.5,19.1,0.706,10.1,23.1,33.1,20.9,8.4,1.9,14.4,22.1,2020,Lithuanian-NKL,0
7,Gargzdu Gargzdai,38,40.3,83.4,29.8,68.9,0.433,9.4,26.9,0.35,14.3,19.6,0.732,11.2,25.9,37.0,21.2,6.4,1.7,11.9,19.4,2020,Lithuanian-NKL,0
8,Palangos Kursiai,38,40.3,83.4,31.7,67.1,0.472,8.7,24.1,0.36,11.4,15.4,0.74,9.8,25.3,35.2,18.6,6.9,2.3,13.1,19.9,2020,Lithuanian-NKL,0
9,Vytis Zanavykas Sakiai,37,40.4,82.5,30.0,63.4,0.474,10.8,29.6,0.364,11.7,15.7,0.746,6.6,24.8,31.5,18.8,6.7,2.4,14.5,19.4,2020,Lithuanian-NKL,0
10,Delikatesas Joniskis,39,40.1,82.0,30.5,65.6,0.465,8.7,25.3,0.346,12.2,17.3,0.704,8.3,24.9,33.2,18.9,7.1,3.3,13.4,20.2,2020,Lithuanian-NKL,0
11,Ezerunas Moletai,37,40.0,79.4,29.8,65.1,0.458,5.9,19.6,0.303,13.9,20.5,0.676,9.5,25.2,34.6,17.4,7.4,3.3,14.9,19.2,2020,Lithuanian-NKL,0
12,Jonava Jonavos,37,40.0,78.6,29.6,64.5,0.459,7.9,20.6,0.385,11.4,16.2,0.7,8.9,23.7,32.6,16.6,6.8,2.4,13.9,19.7,2020,Lithuanian-NKL,0
13,Neptuans Akvaservis Klaipeda,39,40.1,78.5,27.8,66.4,0.42,9.4,29.0,0.323,13.4,19.0,0.708,11.5,27.6,39.0,16.9,6.1,2.8,14.7,19.1,2020,Lithuanian-NKL,0
14,Taurages,38,40.4,77.3,27.2,63.9,0.426,8.2,25.7,0.318,14.7,22.3,0.66,7.4,24.0,31.4,16.1,5.2,1.4,12.7,18.9,2020,Lithuanian-NKL,0
15,Siales Lusis,37,40.0,76.1,27.4,65.5,0.418,8.5,27.2,0.312,12.8,17.9,0.715,11.2,25.1,36.4,18.7,6.5,2.4,16.2,21.4,2020,Lithuanian-NKL,0
