#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Cambados Xuven,34,40.0,82.5,30.4,66.5,0.457,8.1,22.6,0.358,13.7,19.0,0.719,10.4,24.6,35.0,13.0,8.5,2.2,13.6,18.3,2017,Spanish-LEB-Silver,0
2,CB Granada,38,40.1,79.3,28.4,62.3,0.455,7.5,20.9,0.358,15.0,20.1,0.747,10.6,27.2,37.8,12.7,6.5,2.8,13.4,21.2,2017,Spanish-LEB-Silver,0
3,CB Zamora Chef,30,40.6,76.8,27.0,64.0,0.422,8.8,24.3,0.364,14.0,19.4,0.72,10.1,23.4,33.5,12.9,5.9,1.3,13.4,20.1,2017,Spanish-LEB-Silver,0
4,CB Tarragona,30,40.8,75.5,26.9,65.5,0.41,8.6,26.4,0.324,13.1,19.1,0.686,10.4,23.8,34.3,12.5,7.6,2.1,14.3,21.3,2017,Spanish-LEB-Silver,0
5,CB Lucentum Alicante,35,40.3,74.9,27.1,60.3,0.45,7.6,19.8,0.384,13.0,17.5,0.742,9.3,22.9,32.2,15.2,6.6,1.6,12.8,20.4,2017,Spanish-LEB-Silver,0
6,Gandia Basquet,30,40.5,74.8,26.8,64.0,0.419,8.1,23.9,0.338,13.2,18.4,0.717,8.4,24.2,32.6,11.5,7.4,2.8,15.1,21.2,2017,Spanish-LEB-Silver,0
7,CB Moron,39,40.0,74.5,27.8,63.3,0.439,8.1,23.8,0.341,10.8,15.7,0.687,8.7,23.5,32.3,12.9,7.5,2.4,13.2,20.4,2017,Spanish-LEB-Silver,0
8,Agustinos-Eras E. Leclerc Leon,30,40.0,74.3,26.4,62.1,0.425,7.5,21.2,0.354,14.0,19.8,0.706,10.2,24.8,35.0,9.8,5.5,2.3,15.3,18.7,2017,Spanish-LEB-Silver,0
9,Iraurgi SB,30,40.2,74.1,26.5,60.7,0.437,8.6,24.1,0.358,12.4,17.3,0.715,7.8,24.5,32.2,13.7,7.5,2.6,11.9,18.5,2017,Spanish-LEB-Silver,1
10,Alcazar Basket,30,40.5,73.4,26.0,61.8,0.42,8.6,26.9,0.32,12.8,18.1,0.709,6.6,25.8,32.4,13.8,5.9,2.2,12.7,19.4,2017,Spanish-LEB-Silver,0
11,Zornotza ST,43,40.2,72.9,25.7,63.4,0.405,7.1,25.6,0.277,14.4,22.3,0.645,10.3,23.7,34.0,12.5,6.8,2.2,13.2,22.3,2017,Spanish-LEB-Silver,0
12,Albacete Basket,30,40.3,72.4,27.1,63.2,0.429,6.7,20.7,0.323,11.4,17.3,0.66,9.8,23.2,33.0,11.1,6.6,2.2,12.9,22.5,2017,Spanish-LEB-Silver,0
13,Real Valladolid CB,44,40.0,70.6,25.7,62.9,0.409,6.1,19.3,0.317,13.0,18.7,0.699,11.6,24.4,35.9,9.3,6.8,3.2,12.8,19.4,2017,Spanish-LEB-Silver,0
14,BC Navarra,33,40.3,70.5,25.1,62.1,0.404,6.8,21.8,0.313,13.4,18.5,0.726,8.8,24.3,33.2,11.1,6.1,1.6,14.2,20.6,2017,Spanish-LEB-Silver,0
15,CB L'Hospitalet,30,40.8,70.1,26.1,64.5,0.405,5.1,19.9,0.258,12.7,19.3,0.657,9.8,23.4,33.2,13.8,7.6,2.1,12.8,19.5,2017,Spanish-LEB-Silver,0
16,Carrefour El Bulevar,34,40.3,69.3,25.2,60.4,0.417,6.4,20.6,0.313,12.5,18.1,0.689,9.7,24.2,33.9,11.8,7.1,1.6,13.9,19.1,2017,Spanish-LEB-Silver,0
