#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,BC Rilski Sportist,36,40.0,88.4,33.7,67.0,0.503,9.6,26.1,0.368,11.4,16.1,0.71,10.2,28.4,38.5,20.6,7.6,3.3,12.4,17.2,2022,Bulgarian-NBL
2,Spartak Pleven,36,40.4,83.5,30.4,66.5,0.457,8.8,27.3,0.321,13.9,19.0,0.731,8.8,23.9,32.7,20.1,8.4,2.4,12.5,19.6,2022,Bulgarian-NBL
3,BC Levski Lukoil,36,40.3,82.4,30.2,67.1,0.45,8.0,25.5,0.314,14.0,19.9,0.704,10.6,26.4,37.0,20.0,7.9,1.9,13.4,17.7,2022,Bulgarian-NBL
4,Tundja Yambol,29,40.2,81.6,29.9,64.0,0.467,8.3,24.6,0.339,13.3,19.8,0.673,7.9,21.8,29.6,16.2,8.6,2.1,14.6,17.2,2022,Bulgarian-NBL
5,Chernomorets Burgas,30,40.0,80.8,29.7,68.3,0.435,8.5,28.5,0.299,12.8,15.9,0.803,12.2,27.5,39.8,17.3,6.0,2.9,15.7,16.0,2022,Bulgarian-NBL
6,BC Beroe Stara Zagora,29,40.0,80.8,30.8,67.7,0.454,8.9,27.1,0.33,10.2,16.2,0.633,10.6,25.9,36.4,18.2,7.0,2.2,14.6,16.0,2022,Bulgarian-NBL
7,BC Balkan,38,40.1,80.4,29.7,63.7,0.466,8.9,25.9,0.342,12.1,16.0,0.757,8.1,24.9,33.0,18.9,8.3,1.6,13.2,19.5,2022,Bulgarian-NBL
8,Akademik Bulteks 99 Plovdiv,30,40.0,79.0,29.7,67.1,0.443,9.1,27.6,0.331,10.3,15.0,0.683,10.1,23.5,33.6,18.8,8.4,2.3,14.6,20.2,2022,Bulgarian-NBL
9,Euroins Cherno More,27,40.0,72.5,27.0,64.5,0.419,7.7,25.0,0.306,11.0,17.6,0.624,8.0,21.0,28.9,16.6,9.2,0.8,16.9,20.1,2022,Bulgarian-NBL
10,Shumen,27,40.0,69.4,25.9,62.3,0.415,6.7,23.8,0.28,11.0,16.2,0.68,8.5,25.3,33.9,15.4,7.0,1.7,17.7,18.0,2022,Bulgarian-NBL
