#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Brose Baskets Bamberg,1,45.0,97.0,30.0,64.0,0.469,13.0,33.0,0.394,24.0,28.0,0.857,8.0,21.0,29.0,19.0,11.0,0.0,16.0,26.0
2,Bayern Munich,3,41.7,88.3,27.0,55.0,0.491,7.7,22.3,0.343,26.7,34.3,0.777,5.0,23.0,28.0,15.3,7.7,2.3,12.3,24.7
3,ALBA Berlin,3,40.0,83.0,29.0,57.7,0.503,10.7,26.7,0.4,14.3,20.0,0.717,7.0,23.0,30.0,22.7,7.3,2.7,16.3,26.7
4,Medi Bayreuth,3,40.0,83.0,27.0,58.0,0.466,10.0,24.7,0.405,19.0,23.7,0.803,6.7,20.0,26.7,18.7,8.3,1.7,14.3,20.3
5,Ratiopharm Ulm,2,40.0,77.0,27.5,58.5,0.47,4.5,22.0,0.205,17.5,21.0,0.833,7.0,25.5,32.5,12.5,6.0,0.5,16.5,26.0
6,Fraport Skyliners,1,40.0,74.0,28.0,60.0,0.467,8.0,23.0,0.348,10.0,21.0,0.476,6.0,15.0,21.0,12.0,7.0,3.0,13.0,24.0
7,MHP Riesen,1,40.0,73.0,20.0,58.0,0.345,5.0,22.0,0.227,28.0,33.0,0.848,12.0,18.0,30.0,14.0,14.0,2.0,18.0,31.0
