GP,PPG,FGM,FGA,FG%,3PM,3P%,ORB,DRB,APG,SPG,TOV,is_Champion,league_num
28,84.0,28.9,65.5,0.441,10.4,0.336,10.4,26.8,17.6,5.6,13.8,0.0,12
38,83.6,29.9,66.3,0.451,9.2,0.338,10.8,27.3,18.4,7.2,12.6,1.0,12
32,82.1,28.7,63.4,0.452,11.0,0.381,9.5,22.1,15.0,7.6,13.0,0.0,12
32,79.1,27.4,62.9,0.436,7.3,0.328,8.4,23.4,17.0,7.7,13.9,0.0,12
29,78.2,27.0,62.7,0.431,8.6,0.329,8.1,23.4,16.2,6.4,14.7,0.0,12
28,77.9,27.3,61.0,0.448,8.1,0.308,7.4,23.8,18.6,7.0,14.7,0.0,12
29,77.4,27.2,62.8,0.434,8.7,0.337,9.4,24.3,16.7,7.6,14.2,0.0,12
32,77.1,26.9,60.6,0.445,9.2,0.341,6.5,23.9,16.9,6.8,12.4,0.0,12
25,76.8,27.2,65.5,0.416,10.5,0.351,9.0,22.4,13.8,7.6,13.5,0.0,12
38,75.5,27.2,61.1,0.445,8.3,0.348,8.7,20.7,16.2,6.8,13.4,0.0,12
26,74.3,26.4,64.9,0.407,7.3,0.302,9.5,23.5,17.2,6.8,14.2,0.0,12
31,73.7,27.3,64.1,0.425,7.7,0.319,10.3,23.6,13.4,7.1,13.3,0.0,12
26,88.5,30.8,66.3,0.464,11.7,0.36,9.8,28.3,19.3,5.2,12.6,0.0,12
25,87.4,29.8,61.2,0.486,10.9,0.399,7.0,25.0,19.2,6.0,12.2,0.0,12
26,86.6,30.7,66.3,0.464,9.0,0.333,9.7,24.6,17.9,7.1,12.3,0.0,12
27,86.3,31.6,66.9,0.472,8.7,0.354,8.4,22.0,20.6,7.3,14.3,0.0,12
24,85.0,29.3,64.2,0.456,10.3,0.362,8.6,24.9,19.5,7.3,11.8,0.0,12
26,84.4,28.4,59.8,0.475,8.7,0.356,6.6,23.4,18.7,5.2,13.3,0.0,12
27,83.2,29.9,65.5,0.456,10.1,0.352,8.4,25.2,18.4,6.7,12.7,0.0,12
26,82.8,28.0,62.6,0.448,9.8,0.369,8.1,23.8,17.0,7.5,14.0,0.0,12
26,82.3,29.6,64.2,0.461,9.1,0.373,9.2,22.8,17.8,7.4,12.3,0.0,12
25,81.6,29.3,66.4,0.441,11.0,0.333,10.1,24.8,17.9,5.7,12.3,0.0,12
27,81.6,29.4,62.0,0.474,8.9,0.373,8.2,23.4,16.7,7.1,14.2,0.0,12
26,80.2,28.9,63.5,0.455,7.8,0.323,8.2,23.7,15.3,8.4,13.7,0.0,12
26,78.4,26.8,61.3,0.436,10.3,0.358,8.2,22.2,17.2,5.9,14.1,0.0,12
26,76.3,27.6,63.3,0.436,8.2,0.328,7.9,23.2,13.3,7.3,12.6,0.0,12
26,76.0,26.5,61.2,0.432,7.2,0.314,8.5,23.3,15.9,6.6,15.7,1.0,12
25,71.0,25.3,62.1,0.407,6.7,0.302,8.4,21.7,17.2,7.1,15.0,0.0,12
38,89.2,30.7,68.1,0.451,13.3,0.359,10.2,28.5,20.7,6.9,11.4,1.0,12
39,89.0,31.7,66.1,0.48,11.4,0.38,8.4,27.3,17.9,7.4,10.9,0.0,12
35,86.0,30.3,63.0,0.481,10.4,0.398,9.1,26.9,19.1,5.8,13.5,0.0,12
35,86.0,30.6,64.1,0.478,9.0,0.372,7.0,25.9,19.7,7.2,12.5,0.0,12
33,82.5,30.5,67.1,0.455,9.5,0.364,8.8,23.8,17.6,7.8,13.8,0.0,12
32,82.3,28.8,64.6,0.446,11.2,0.38,8.2,24.6,17.5,6.4,12.9,0.0,12
35,80.8,29.1,62.9,0.462,9.5,0.351,8.0,24.8,17.5,7.9,12.2,0.0,12
35,80.3,28.8,64.7,0.445,9.7,0.338,8.9,25.4,20.5,6.4,15.1,0.0,12
31,77.4,28.5,66.8,0.426,8.2,0.301,8.6,26.1,14.4,8.1,13.1,0.0,12
30,76.0,28.1,67.0,0.419,9.3,0.327,9.7,23.6,16.8,5.9,13.3,0.0,12
36,75.8,27.7,67.6,0.409,9.7,0.321,10.9,26.2,17.4,7.3,12.7,0.0,12
32,75.7,26.7,60.5,0.441,8.1,0.335,8.3,23.3,15.4,5.6,13.5,0.0,12
31,75.6,26.2,64.0,0.409,9.6,0.327,7.9,24.8,15.7,6.0,15.4,0.0,12
32,74.6,26.4,64.8,0.408,7.5,0.317,9.0,23.5,14.8,7.7,13.8,0.0,12
30,74.5,27.2,65.2,0.418,8.1,0.322,9.1,23.8,14.8,7.5,13.1,0.0,12
30,71.0,25.9,65.7,0.394,8.0,0.314,8.3,24.2,17.2,7.7,15.1,0.0,12
43,88.0,31.3,65.4,0.478,10.7,0.359,8.7,28.3,17.3,5.7,11.5,1.0,12
42,85.9,30.1,65.8,0.458,12.6,0.363,10.6,26.9,19.4,6.3,12.7,0.0,12
39,82.8,29.8,61.7,0.482,10.0,0.351,5.8,25.8,17.4,6.9,11.6,0.0,12
39,82.8,29.5,62.3,0.474,10.0,0.356,8.6,25.5,16.7,6.9,13.0,0.0,12
37,80.9,29.4,69.8,0.422,9.6,0.334,12.0,25.1,16.8,7.5,13.4,0.0,12
32,77.7,28.7,69.5,0.413,8.5,0.291,10.7,26.6,15.1,6.1,13.5,0.0,12
38,77.7,28.0,62.4,0.448,10.2,0.342,6.3,24.3,16.9,6.8,11.8,0.0,12
37,77.5,28.2,64.4,0.438,10.0,0.346,8.7,24.4,14.8,7.6,12.1,0.0,12
32,76.8,27.9,63.9,0.437,9.3,0.328,8.8,26.2,19.3,6.7,17.0,0.0,12
37,76.5,27.8,64.1,0.434,8.5,0.333,9.2,23.1,15.2,7.0,12.9,0.0,12
34,75.8,27.4,64.8,0.422,10.7,0.339,10.9,24.4,16.2,5.3,13.2,0.0,12
33,75.5,26.8,62.7,0.427,7.5,0.305,9.1,22.1,14.3,6.7,12.3,0.0,12
31,75.2,26.6,62.8,0.423,8.2,0.324,9.6,27.2,14.4,5.2,15.3,0.0,12
31,74.8,27.5,65.9,0.418,7.3,0.288,8.6,25.1,13.7,7.2,13.5,0.0,12
32,74.5,27.0,68.0,0.397,8.4,0.294,9.3,24.5,14.9,8.1,12.9,0.0,12
35,73.1,26.1,64.0,0.408,9.5,0.328,8.1,23.2,13.1,7.3,13.6,0.0,12
34,70.4,26.1,61.0,0.428,8.0,0.321,6.5,23.0,15.8,7.1,13.6,0.0,12
32,88.0,34.8,74.8,0.465,4.9,0.292,13.4,28.7,16.2,5.3,12.5,0.0,13
29,86.9,33.0,71.9,0.459,6.0,0.308,13.1,26.2,15.9,7.4,17.6,0.0,13
35,86.5,31.9,72.0,0.444,8.4,0.355,12.2,28.4,17.5,7.9,15.2,1.0,13
31,86.0,31.0,67.2,0.462,9.8,0.358,10.2,23.4,17.1,5.7,12.6,0.0,13
35,84.7,32.9,67.4,0.488,6.2,0.343,9.9,26.1,17.4,7.5,12.1,0.0,13
33,82.7,32.3,70.9,0.455,6.0,0.318,12.5,26.0,14.8,6.5,13.6,0.0,13
32,81.5,30.5,68.8,0.443,4.3,0.266,12.5,23.4,12.4,6.4,14.3,0.0,13
32,80.3,30.0,68.2,0.44,6.2,0.34,10.9,24.6,12.3,4.5,13.5,0.0,13
33,80.2,30.8,69.9,0.44,7.2,0.318,11.0,23.4,14.6,6.4,11.4,0.0,13
30,78.8,30.3,70.5,0.429,5.2,0.279,13.8,26.4,13.9,6.2,16.9,0.0,13
30,74.4,29.4,70.6,0.416,7.3,0.315,12.6,19.4,15.5,7.5,14.0,0.0,13
38,88.8,34.3,74.5,0.46,7.5,0.337,12.5,28.1,18.6,8.2,14.2,0.0,13
37,88.1,33.5,71.8,0.467,6.3,0.339,11.9,27.3,15.5,7.2,14.3,0.0,13
35,86.0,31.9,70.6,0.452,10.3,0.37,12.8,27.9,16.6,5.3,14.2,0.0,13
36,85.2,32.9,71.1,0.463,5.2,0.324,10.9,24.0,17.1,8.7,13.4,0.0,13
35,83.0,31.9,68.3,0.468,7.6,0.384,9.0,25.7,16.9,6.5,13.5,0.0,13
33,82.2,30.5,70.5,0.434,8.3,0.352,11.4,24.3,15.7,6.2,15.2,0.0,13
33,81.9,31.2,68.5,0.456,6.0,0.307,10.4,23.2,12.8,6.3,13.7,0.0,13
35,81.6,29.9,68.6,0.436,6.0,0.282,12.5,24.1,16.0,6.6,17.7,0.0,13
32,80.5,31.0,70.3,0.441,7.9,0.328,12.0,22.1,18.4,7.8,14.0,0.0,13
38,79.9,29.7,65.0,0.456,6.4,0.317,11.8,26.6,16.6,7.3,13.4,1.0,13
35,77.1,28.7,67.0,0.428,5.3,0.302,10.2,23.8,12.4,6.9,12.5,0.0,13
33,63.7,26.6,66.1,0.402,4.0,0.278,9.9,21.8,14.3,6.0,19.8,0.0,13
38,91.8,35.5,75.7,0.47,5.5,0.306,13.7,28.4,19.2,10.9,14.9,1.0,13
38,88.9,31.9,72.2,0.441,8.5,0.315,14.2,26.8,18.3,7.8,13.2,0.0,13
35,87.3,32.1,68.5,0.47,9.0,0.366,9.6,23.1,19.0,5.7,13.9,0.0,13
35,85.4,32.6,73.9,0.441,7.4,0.317,13.5,27.0,13.8,6.5,13.5,0.0,13
33,83.8,30.9,69.7,0.443,7.5,0.331,11.0,24.5,16.4,8.6,13.0,0.0,13
35,83.7,31.2,69.6,0.448,6.1,0.302,12.7,24.2,15.5,6.2,14.3,0.0,13
35,82.7,32.1,70.3,0.457,6.9,0.343,12.4,24.9,17.3,7.0,14.1,0.0,13
37,82.7,31.5,65.3,0.483,6.8,0.318,9.3,27.4,18.3,5.9,13.8,0.0,13
33,80.1,29.6,65.9,0.449,7.9,0.347,9.8,25.0,15.9,5.3,14.8,0.0,13
37,77.6,28.9,66.7,0.433,5.3,0.327,12.1,25.6,14.5,5.6,12.5,0.0,13
33,73.8,27.5,68.5,0.401,7.5,0.334,10.7,21.2,13.7,6.3,15.5,0.0,13
33,71.8,27.2,68.0,0.399,6.0,0.284,11.0,21.8,12.5,5.2,16.5,0.0,13
41,96.7,38.7,79.5,0.486,7.7,0.346,12.6,28.8,20.7,9.4,12.4,1.0,13
37,87.2,33.5,69.6,0.481,7.9,0.352,9.7,27.9,19.2,6.7,13.1,0.0,13
40,86.3,32.7,68.6,0.476,8.1,0.359,12.6,27.9,14.6,5.4,14.2,0.0,13
36,84.4,31.2,68.9,0.452,9.6,0.35,9.6,23.6,16.2,6.2,13.2,0.0,13
38,81.9,30.0,67.4,0.445,9.3,0.35,8.2,27.1,15.3,5.8,14.2,0.0,13
35,81.7,31.1,70.4,0.441,7.6,0.368,10.5,25.4,15.3,5.4,14.1,0.0,13
38,81.6,29.8,68.8,0.432,8.3,0.346,11.4,27.9,16.0,6.2,13.7,0.0,13
40,81.1,30.5,69.1,0.441,6.6,0.327,12.1,23.9,14.5,6.0,12.1,0.0,13
40,79.5,29.8,69.3,0.43,6.0,0.326,11.5,22.8,13.6,6.9,11.0,0.0,13
35,74.0,28.4,62.5,0.454,7.3,0.342,8.9,24.1,15.9,5.4,13.2,0.0,13
36,73.7,29.0,67.6,0.428,6.4,0.3,10.9,23.3,12.7,4.9,14.5,0.0,13
36,71.9,26.1,61.8,0.422,8.0,0.342,7.6,24.1,13.5,6.2,14.7,0.0,13
36,64.3,24.3,62.4,0.39,5.9,0.291,9.7,24.2,13.4,5.6,15.7,0.0,13
35,90.9,35.4,75.1,0.471,7.5,0.323,10.5,29.3,19.3,8.3,13.1,0.0,13
37,84.5,32.3,70.3,0.459,9.4,0.354,10.4,24.3,15.3,6.1,12.0,0.0,13
36,82.0,31.8,70.1,0.453,7.1,0.338,11.8,26.4,16.5,6.8,12.3,0.0,13
38,81.8,31.2,66.6,0.469,7.8,0.351,9.0,29.8,17.6,6.7,12.9,1.0,13
36,81.3,31.0,70.5,0.44,6.4,0.292,10.9,25.8,14.9,6.0,12.5,0.0,13
31,80.9,30.4,71.8,0.423,7.5,0.293,10.1,29.5,17.9,6.2,13.7,0.0,13
35,80.5,30.4,71.5,0.425,8.0,0.316,12.6,24.0,15.3,6.7,12.7,0.0,13
36,79.2,30.4,67.5,0.45,7.0,0.358,8.2,26.9,17.4,5.6,13.2,0.0,13
32,76.8,28.4,67.7,0.42,7.2,0.337,9.9,20.7,14.8,6.0,11.5,0.0,13
32,75.8,28.0,66.8,0.419,5.3,0.283,9.3,25.3,13.2,6.5,15.8,0.0,13
35,71.8,28.8,70.4,0.409,7.0,0.311,11.7,23.8,14.6,6.4,13.1,0.0,13
33,70.4,25.4,63.7,0.398,8.0,0.315,9.9,25.5,13.8,4.7,14.1,0.0,13
38,92.6,35.6,76.3,0.467,9.1,0.368,9.3,25.9,20.1,9.2,12.6,0.0,13
33,88.4,33.1,70.0,0.473,8.8,0.371,9.5,26.2,21.3,8.8,15.9,0.0,13
37,88.3,33.0,69.5,0.475,9.6,0.351,8.8,27.8,18.9,6.8,13.6,0.0,13
33,87.6,33.2,72.8,0.456,8.0,0.336,8.5,24.8,15.0,9.1,14.3,0.0,13
38,87.4,31.2,68.4,0.456,9.2,0.347,9.7,28.6,20.6,7.8,13.4,1.0,13
37,85.1,31.4,69.4,0.452,9.1,0.342,9.9,24.7,17.3,6.0,13.6,0.0,13
35,81.8,31.5,67.4,0.467,9.1,0.348,7.7,26.3,17.2,5.7,13.5,0.0,13
35,79.5,30.6,68.1,0.45,5.6,0.314,9.7,25.7,14.7,7.5,17.0,0.0,13
35,78.3,29.2,69.9,0.418,7.0,0.311,9.5,28.0,14.3,7.5,14.8,0.0,13
35,78.0,29.1,65.8,0.442,8.3,0.36,9.5,24.8,14.3,5.9,13.1,0.0,13
33,74.7,28.9,67.4,0.429,7.8,0.364,10.0,21.7,16.5,7.4,15.5,0.0,13
33,74.7,28.8,66.7,0.431,6.5,0.308,9.9,23.8,13.2,5.0,17.9,0.0,13
35,90.9,34.7,78.5,0.441,9.3,0.341,12.4,26.5,23.8,10.9,11.9,0.0,13
36,88.1,31.6,69.2,0.457,9.4,0.362,11.2,25.4,22.3,7.3,13.4,0.0,13
38,88.0,32.9,70.0,0.47,9.8,0.355,8.8,27.6,22.6,7.9,11.7,1.0,13
37,87.3,33.1,69.9,0.473,7.6,0.35,8.5,28.6,20.4,7.4,12.9,0.0,13
35,86.7,31.1,67.3,0.462,8.9,0.358,8.3,26.7,20.3,7.3,14.8,0.0,13
33,86.6,32.9,71.8,0.458,7.3,0.31,12.9,23.4,21.1,7.5,12.2,0.0,13
38,86.3,32.6,69.2,0.47,8.8,0.372,9.5,27.3,21.6,8.9,13.5,0.0,13
36,83.3,32.6,73.3,0.445,6.6,0.326,11.4,26.1,20.0,6.9,11.5,0.0,13
33,82.5,30.9,72.2,0.428,8.5,0.323,10.1,26.5,20.5,7.7,13.9,0.0,13
37,80.5,31.2,71.8,0.435,6.6,0.318,11.2,27.2,20.6,6.9,13.8,0.0,13
33,78.2,31.4,71.1,0.442,5.1,0.271,10.7,25.2,18.9,5.7,15.7,0.0,13
33,70.4,25.8,65.0,0.397,9.4,0.318,8.2,22.4,17.4,4.9,19.4,0.0,13
35,89.1,33.7,73.9,0.457,8.4,0.339,9.1,27.1,23.0,8.6,12.2,0.0,13
33,87.4,31.9,73.8,0.432,8.8,0.341,9.2,27.0,19.0,5.7,13.2,0.0,13
37,86.9,31.6,67.5,0.468,7.2,0.317,9.7,24.2,18.9,7.0,13.7,0.0,13
35,86.7,32.2,73.6,0.438,7.8,0.32,14.2,28.4,19.7,7.9,13.1,1.0,13
34,85.9,33.9,73.0,0.464,7.3,0.344,13.6,25.9,19.0,7.6,15.8,0.0,13
35,85.0,32.4,67.2,0.482,8.3,0.378,9.9,23.3,19.1,8.3,14.7,0.0,13
35,83.5,31.7,67.6,0.469,8.7,0.361,8.3,25.1,19.3,7.7,13.6,0.0,13
35,83.0,30.7,69.7,0.441,8.3,0.33,9.3,24.7,17.3,7.8,15.8,0.0,13
38,83.0,30.4,66.7,0.456,7.6,0.347,11.0,26.6,16.7,8.0,14.9,0.0,13
38,80.6,29.3,65.2,0.45,8.1,0.335,9.0,26.2,19.6,6.2,12.9,0.0,13
33,79.2,29.4,70.3,0.418,7.1,0.298,12.2,25.9,16.7,7.8,13.8,0.0,13
37,78.4,29.7,64.8,0.458,6.9,0.335,7.8,25.3,17.9,6.5,12.5,0.0,13
14,91.4,33.1,70.9,0.467,8.3,0.346,12.1,27.8,17.4,7.9,14.2,0.0,13
14,88.8,31.6,71.3,0.444,8.9,0.354,10.2,24.4,15.5,5.9,12.9,0.0,13
13,88.2,35.1,74.5,0.471,6.7,0.307,10.4,28.4,22.9,6.2,12.5,0.0,13
13,86.9,33.2,69.1,0.481,9.7,0.356,8.5,27.2,24.0,4.9,12.5,1.0,13
3,86.0,33.0,69.7,0.474,12.3,0.407,9.3,21.7,21.3,5.3,14.7,0.0,13
15,85.0,33.8,65.3,0.518,8.2,0.394,7.1,23.9,19.7,8.1,10.9,0.0,13
13,84.5,32.4,70.2,0.461,8.2,0.331,8.8,24.5,18.1,6.1,12.8,0.0,13
14,83.8,31.7,66.4,0.477,6.8,0.333,9.1,28.9,20.4,7.0,13.3,0.0,13
13,83.0,31.0,69.9,0.443,7.6,0.31,11.8,23.9,18.7,8.5,13.3,0.0,13
13,81.5,31.2,69.1,0.451,7.0,0.331,9.4,25.9,17.0,6.5,10.2,0.0,13
13,79.4,29.0,69.2,0.419,8.3,0.351,12.7,25.0,14.7,6.2,14.2,0.0,13
13,77.2,29.8,73.7,0.404,7.4,0.292,11.8,25.0,20.8,5.9,14.0,0.0,13
35,89.0,32.7,71.1,0.459,11.7,0.383,10.2,25.7,21.6,7.9,13.6,0.0,13
34,85.4,32.4,67.5,0.48,7.9,0.338,7.6,29.2,20.7,6.8,12.7,1.0,13
35,84.8,32.9,70.9,0.464,6.8,0.32,8.5,26.2,22.6,8.4,13.1,0.0,13
34,84.2,30.3,66.2,0.458,7.7,0.344,10.7,27.9,16.6,7.6,14.4,0.0,13
30,83.8,31.7,71.7,0.443,8.1,0.32,10.6,27.7,17.2,6.1,13.3,0.0,13
30,81.5,29.9,69.6,0.43,7.3,0.317,10.4,25.2,17.2,6.6,12.4,0.0,13
32,80.0,30.2,65.4,0.461,7.3,0.356,8.3,26.2,16.7,6.8,11.8,0.0,13
32,78.5,29.3,64.4,0.455,6.9,0.36,7.2,27.0,18.6,5.9,13.7,0.0,13
32,77.6,30.5,68.4,0.447,5.3,0.272,9.4,24.4,17.6,7.9,11.2,0.0,13
32,77.5,29.7,68.2,0.436,7.3,0.313,9.6,27.4,18.4,7.1,13.0,0.0,13
30,73.8,27.9,65.5,0.426,7.4,0.337,8.4,25.8,16.4,6.1,16.0,0.0,13
32,91.2,33.1,66.1,0.501,9.6,0.401,7.5,27.8,21.4,7.8,12.5,1.0,13
31,88.7,32.8,67.7,0.485,8.8,0.372,9.3,24.2,21.8,7.4,13.2,0.0,13
29,87.0,32.5,69.6,0.467,9.4,0.356,9.4,24.9,21.6,7.7,13.5,0.0,13
27,85.7,32.7,70.4,0.465,8.3,0.365,7.9,24.6,23.4,7.5,13.0,0.0,13
32,84.6,31.3,69.5,0.451,11.9,0.384,10.1,27.0,18.3,6.4,14.1,0.0,13
29,84.1,31.8,69.4,0.458,8.1,0.333,10.4,25.2,18.5,8.3,13.1,0.0,13
31,81.1,31.0,71.7,0.432,7.5,0.313,12.9,27.3,18.5,8.4,14.7,0.0,13
29,80.5,30.1,66.1,0.455,6.6,0.326,8.6,24.9,19.9,7.2,14.2,0.0,13
29,80.5,30.1,66.1,0.455,6.6,0.326,8.6,24.9,19.9,7.2,14.2,0.0,13
29,76.2,28.7,63.4,0.452,7.4,0.354,8.5,25.5,16.9,6.3,12.7,0.0,13
27,72.6,26.1,64.1,0.408,7.2,0.313,8.0,24.6,16.3,5.7,16.0,0.0,13
36,86.6,32.4,59.8,0.542,9.3,0.396,7.1,25.2,19.2,9.6,13.6,1.0,14
37,85.9,31.5,62.4,0.505,6.0,0.355,10.4,25.2,17.8,9.5,14.8,0.0,14
34,82.4,30.6,62.3,0.491,6.8,0.366,9.5,23.9,15.9,10.8,16.0,0.0,14
30,80.0,26.8,58.0,0.462,10.8,0.376,7.0,20.5,17.6,6.0,13.0,0.0,14
30,78.1,28.7,60.6,0.474,6.8,0.32,8.5,24.6,15.8,8.3,13.3,0.0,14
33,75.9,28.8,63.5,0.453,7.2,0.342,10.7,23.1,15.4,7.8,15.9,0.0,14
30,71.7,26.0,59.9,0.434,4.7,0.315,10.1,20.5,13.3,8.2,16.7,0.0,14
30,71.0,26.7,61.2,0.436,5.8,0.302,9.5,24.1,13.7,7.5,15.7,0.0,14
39,89.8,33.6,62.4,0.538,7.1,0.373,8.0,25.8,20.5,10.4,13.9,1.0,14
39,85.1,30.6,60.6,0.506,7.9,0.37,9.3,24.8,17.8,8.9,14.4,0.0,14
35,84.8,30.8,64.4,0.478,8.8,0.372,9.8,23.2,16.1,9.5,14.6,0.0,14
34,81.0,27.8,58.4,0.476,7.2,0.344,7.8,25.3,15.2,7.2,14.1,0.0,14
29,80.9,28.7,61.5,0.467,5.7,0.336,10.3,23.4,15.7,8.5,15.2,0.0,14
29,80.7,28.8,61.9,0.465,7.7,0.335,11.8,25.7,16.2,7.0,19.6,0.0,14
29,77.5,28.0,65.4,0.428,6.1,0.292,12.4,23.2,15.2,8.3,14.7,0.0,14
30,77.3,29.6,63.8,0.463,5.6,0.342,10.7,24.7,15.6,9.3,15.7,0.0,14
27,75.3,25.3,60.4,0.418,10.0,0.33,7.3,21.4,15.4,6.2,15.5,0.0,14
27,66.4,23.4,61.6,0.381,7.6,0.31,11.4,18.6,13.2,8.6,18.1,0.0,14
35,90.9,34.7,64.5,0.537,7.3,0.352,9.8,24.4,17.9,8.5,12.6,1.0,14
31,88.5,32.1,64.5,0.498,9.2,0.359,10.5,25.6,19.1,5.5,12.6,0.0,14
36,86.8,32.4,64.7,0.501,8.1,0.363,9.5,26.1,17.2,7.9,12.8,0.0,14
30,85.1,31.2,64.4,0.485,8.6,0.358,10.6,24.5,18.4,7.8,13.3,0.0,14
26,85.1,29.7,63.5,0.468,6.7,0.33,10.5,24.6,15.4,8.3,14.0,0.0,14
26,84.1,31.7,63.8,0.496,7.6,0.383,10.6,24.4,14.3,9.4,18.1,0.0,14
26,75.5,26.7,63.1,0.424,9.1,0.326,9.0,20.9,16.3,6.3,13.5,0.0,14
26,73.6,26.7,60.9,0.438,6.7,0.318,8.2,19.9,16.2,8.2,16.9,0.0,14
24,73.3,26.8,63.1,0.424,7.0,0.298,11.3,18.7,12.5,9.0,17.4,0.0,14
21,100.3,35.7,75.0,0.476,12.4,0.391,9.6,28.4,21.2,9.1,15.0,0.0,15
22,97.5,34.5,75.7,0.456,9.5,0.337,12.7,26.1,17.2,8.3,14.7,0.0,15
19,95.4,33.5,73.4,0.456,11.2,0.379,9.1,25.5,21.3,8.4,14.9,0.0,15
21,93.0,33.9,73.3,0.462,10.3,0.352,11.0,30.4,21.9,7.6,15.5,0.0,15
22,92.0,33.0,76.0,0.435,9.2,0.322,12.3,28.5,15.4,8.3,12.7,1.0,15
19,88.9,31.9,73.3,0.436,8.9,0.347,10.5,29.1,18.6,6.5,16.8,0.0,15
8,89.4,32.9,68.6,0.479,8.9,0.345,10.4,26.5,18.8,8.8,16.4,1.0,15
8,85.1,29.6,68.5,0.432,9.5,0.345,11.0,27.8,18.3,10.6,19.6,0.0,15
8,84.4,29.0,68.6,0.423,9.4,0.347,8.9,24.4,18.5,9.4,15.6,0.0,15
8,80.0,27.9,64.4,0.433,6.6,0.305,10.8,28.6,15.9,6.1,16.0,0.0,15
7,78.3,28.1,68.3,0.412,8.1,0.313,8.6,26.6,18.7,7.7,16.4,0.0,15
7,78.1,26.1,66.1,0.395,9.4,0.322,8.3,24.3,16.9,7.9,16.1,0.0,15
6,75.2,25.3,63.7,0.398,10.2,0.341,8.7,23.7,14.5,7.5,18.0,0.0,15
16,92.1,34.6,72.6,0.477,10.8,0.386,10.9,26.4,23.4,9.5,13.4,1.0,15
16,86.8,31.4,70.2,0.448,8.7,0.345,11.1,27.3,19.8,7.7,17.2,0.0,15
15,84.7,28.7,67.0,0.428,10.5,0.351,10.5,25.9,16.6,7.2,14.6,0.0,15
16,84.6,28.9,61.3,0.471,9.9,0.382,8.0,27.7,19.8,6.2,16.3,0.0,15
15,84.5,30.7,68.9,0.446,9.2,0.357,9.7,25.5,15.9,6.1,13.6,0.0,15
16,84.4,31.3,73.0,0.428,8.9,0.326,12.3,25.0,18.3,9.8,12.9,0.0,15
14,71.9,25.2,65.7,0.384,9.2,0.313,9.2,22.4,13.1,6.9,15.1,0.0,15
22,88.3,31.2,67.8,0.46,8.6,0.351,8.9,26.1,17.0,9.4,15.3,0.0,15
22,87.3,31.5,68.1,0.463,10.0,0.353,7.7,25.6,17.7,6.1,14.3,0.0,15
23,87.2,32.3,71.4,0.452,10.2,0.355,9.8,27.3,16.4,7.0,13.7,0.0,15
21,86.3,31.0,68.3,0.454,8.6,0.355,11.2,27.4,19.1,7.3,15.1,0.0,15
21,85.9,31.0,68.7,0.45,11.1,0.38,9.0,26.0,17.3,6.5,14.0,0.0,15
21,85.0,31.8,71.8,0.443,8.3,0.323,11.0,26.4,20.6,7.3,14.2,0.0,15
20,85.0,30.3,66.9,0.453,9.1,0.346,8.7,24.2,17.8,8.2,15.6,0.0,15
22,84.7,31.0,69.3,0.447,10.1,0.346,11.1,26.1,18.4,9.1,15.7,1.0,15
22,84.3,29.5,67.3,0.439,10.7,0.373,8.9,26.1,15.6,5.9,14.1,0.0,15
20,76.2,27.7,64.8,0.428,7.2,0.352,8.4,23.9,16.6,8.3,13.4,0.0,15
36,104.8,38.0,88.9,0.428,6.6,0.302,16.4,30.7,22.1,8.4,19.3,0.0,16
44,104.2,37.3,85.2,0.437,7.4,0.327,15.5,26.8,20.1,11.1,18.0,0.0,16
43,102.3,37.1,83.2,0.445,5.9,0.32,13.2,31.8,20.5,8.9,15.9,1.0,16
36,101.4,36.4,82.8,0.44,7.5,0.34,13.6,31.2,20.0,9.6,21.6,0.0,16
38,99.1,33.7,78.8,0.428,8.7,0.373,10.2,28.5,22.1,7.7,15.0,0.0,16
39,98.5,34.2,80.4,0.425,7.9,0.342,13.8,33.0,23.4,8.6,20.8,0.0,16
36,93.5,33.3,83.9,0.397,7.4,0.329,14.4,28.7,19.0,8.6,20.9,0.0,16
49,107.8,38.3,86.8,0.441,8.8,0.345,15.0,31.9,24.0,10.6,18.0,0.0,16
48,107.5,39.0,84.9,0.459,8.2,0.366,13.2,31.3,24.3,11.0,15.8,1.0,16
43,104.1,36.7,85.4,0.43,9.9,0.368,11.9,28.6,21.0,7.6,14.7,0.0,16
40,103.2,37.8,81.3,0.465,8.3,0.356,11.7,28.6,19.3,9.4,20.3,0.0,16
47,100.4,34.3,82.0,0.418,8.0,0.328,12.5,33.5,19.7,7.2,20.0,0.0,16
40,99.5,35.0,81.1,0.431,7.2,0.34,13.5,31.9,19.1,7.3,18.7,0.0,16
45,99.1,35.0,83.1,0.421,8.0,0.331,12.9,31.6,22.5,7.8,16.5,0.0,16
40,91.3,32.9,81.4,0.404,7.0,0.292,11.1,28.4,18.7,9.9,20.8,0.0,16
57,105.5,37.1,83.2,0.446,8.9,0.368,14.6,29.6,22.8,9.5,17.8,0.0,16
44,105.0,37.0,81.5,0.454,9.6,0.373,10.5,28.2,22.3,7.8,15.3,0.0,16
45,104.7,37.7,86.0,0.438,10.7,0.356,13.4,31.9,19.8,6.9,16.9,0.0,16
41,102.9,37.5,84.7,0.443,9.7,0.358,13.5,31.4,18.1,7.5,17.4,0.0,16
57,102.7,36.1,79.3,0.455,8.5,0.352,11.0,31.7,22.2,8.5,15.8,1.0,16
