GP,PPG,FGM,FGA,FG%,3PM,3P%,ORB,DRB,APG,SPG,TOV,is_Champion,league_num
17,81.6,30.2,60.6,0.499,7.3,0.324,7.9,19.9,18.8,7.2,14.6,0.0,6
17,81.1,29.8,66.8,0.446,10.2,0.335,10.2,22.1,18.7,7.2,10.2,0.0,6
12,79.9,28.9,61.6,0.47,8.3,0.35,7.8,20.9,15.7,6.3,11.8,0.0,6
16,78.9,28.9,59.4,0.487,9.2,0.359,8.6,23.6,15.8,6.8,15.1,0.0,6
17,78.8,27.5,57.4,0.479,8.0,0.327,6.9,23.1,15.6,5.0,14.3,0.0,6
10,77.3,26.5,63.3,0.419,9.7,0.327,10.4,22.0,14.3,6.6,15.1,0.0,6
10,76.1,29.4,64.3,0.457,6.7,0.29,7.3,22.2,15.1,9.1,15.5,0.0,6
16,75.6,27.3,61.4,0.444,9.6,0.356,8.8,22.4,15.1,5.3,10.7,0.0,6
14,75.3,27.7,61.1,0.454,7.1,0.337,6.9,20.8,14.1,7.9,12.2,0.0,6
9,71.0,26.6,56.6,0.47,5.7,0.313,7.1,22.3,12.9,3.6,12.0,0.0,6
10,69.4,25.0,52.7,0.474,6.2,0.35,7.5,20.6,11.8,1.4,8.4,0.0,6
13,88.0,32.8,62.4,0.527,8.1,0.356,8.5,25.9,20.5,6.9,12.9,0.0,6
14,87.6,31.9,62.8,0.509,8.9,0.368,7.1,27.1,18.6,8.4,12.8,0.0,6
14,85.4,31.0,66.4,0.467,12.2,0.376,9.1,23.1,19.1,6.9,12.4,0.0,6
16,83.4,31.3,64.9,0.483,9.4,0.375,8.4,24.4,19.9,8.1,12.3,1.0,6
4,83.3,31.5,61.5,0.512,8.5,0.378,5.5,20.3,14.8,7.3,13.0,0.0,6
15,80.4,29.7,66.8,0.445,6.7,0.317,8.7,25.1,16.9,8.5,13.3,0.0,6
14,75.9,28.6,61.2,0.468,5.3,0.266,8.4,21.6,16.5,5.7,14.6,0.0,6
12,74.3,28.3,61.3,0.463,7.7,0.347,7.3,20.0,16.9,5.6,11.9,0.0,6
14,91.5,35.4,66.7,0.53,10.6,0.38,8.5,25.6,22.1,8.6,12.6,0.0,6
14,87.6,33.0,67.0,0.493,8.7,0.337,10.4,27.9,19.9,8.2,12.2,0.0,6
14,85.0,29.9,63.0,0.475,9.2,0.342,7.6,24.4,20.8,8.7,12.7,1.0,6
14,78.5,29.9,64.5,0.463,4.5,0.288,10.6,25.9,15.4,7.4,14.1,0.0,6
12,76.5,28.8,63.2,0.456,5.9,0.271,7.4,23.2,16.2,8.0,12.5,0.0,6
12,74.1,27.5,64.8,0.424,7.0,0.294,8.6,23.6,16.0,6.8,16.5,0.0,6
12,71.6,25.4,67.5,0.377,7.1,0.249,11.8,22.8,13.3,7.2,14.8,0.0,6
8,88.3,33.3,67.5,0.493,12.6,0.375,8.9,30.0,21.1,5.5,11.0,0.0,6
9,82.3,31.4,66.6,0.472,7.6,0.34,12.1,30.2,18.2,7.4,14.1,1.0,6
10,76.0,28.4,60.0,0.473,8.5,0.39,8.3,23.9,13.2,3.5,12.0,0.0,6
9,75.1,27.8,65.8,0.422,7.3,0.288,8.3,22.2,14.6,10.1,12.4,0.0,6
10,73.6,26.9,60.8,0.442,7.0,0.289,9.3,26.5,17.4,6.5,14.0,0.0,6
11,92.3,32.5,66.9,0.486,13.9,0.403,7.9,23.2,21.7,7.6,11.2,1.0,6
4,89.5,31.5,71.8,0.439,8.8,0.324,13.3,21.8,15.5,5.8,10.3,0.0,6
