#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Zalgiris,20,40.2,87.7,32.4,59.5,0.544,6.3,16.0,0.395,16.7,23.2,0.719,10.0,23.4,33.4,18.8,10.9,2.3,14.7,17.4,2013,Lithuanian-LKL,1
2,Vytautas Prienu,29,40.2,87.6,30.4,60.6,0.503,9.5,25.8,0.368,17.2,22.2,0.776,8.3,23.3,31.6,17.7,7.7,2.2,13.8,19.4,2013,Lithuanian-LKL,0
3,Neptunas,29,41.2,85.7,33.1,68.0,0.487,6.8,20.6,0.331,12.7,19.4,0.651,11.7,24.8,36.5,16.5,8.2,2.1,14.9,22.4,2013,Lithuanian-LKL,0
4,Lietuvos Rytas,20,40.2,84.1,30.7,63.4,0.484,7.8,21.5,0.364,14.9,20.4,0.73,10.9,22.4,33.2,18.1,9.6,1.9,13.4,25.7,2013,Lithuanian-LKL,0
5,Siauliai,22,40.3,83.6,31.4,64.8,0.484,6.1,17.5,0.352,14.8,22.1,0.669,9.7,24.5,34.1,15.2,8.1,2.3,13.6,21.9,2013,Lithuanian-LKL,0
6,Juventus,22,40.0,81.3,30.8,62.3,0.495,5.0,15.1,0.331,14.7,20.5,0.718,9.3,24.6,33.9,15.7,7.0,2.3,14.5,22.0,2013,Lithuanian-LKL,0
7,Pieno Zvaigzdes,22,41.6,79.2,30.7,63.2,0.486,5.3,16.3,0.327,12.4,17.7,0.702,9.0,23.3,32.3,12.8,7.6,3.2,14.4,20.8,2013,Lithuanian-LKL,0
8,Lietkabelis,20,40.0,76.5,28.3,61.0,0.463,6.8,19.4,0.351,13.2,18.6,0.707,8.6,22.3,30.9,15.0,7.3,2.6,16.3,19.4,2013,Lithuanian-LKL,0
9,LKKA LSU Atletas,20,40.0,70.4,24.6,56.1,0.439,7.6,20.5,0.372,13.6,19.0,0.716,6.9,20.8,27.7,14.3,6.8,3.0,19.1,17.9,2013,Lithuanian-LKL,0
10,Palangos Kursiai,20,40.0,69.2,26.5,66.5,0.399,4.5,18.3,0.246,11.7,19.6,0.594,10.8,19.8,30.5,11.9,8.9,1.9,16.1,19.8,2013,Lithuanian-LKL,0
11,Sakalai,20,40.3,69.1,26.2,65.5,0.399,6.4,21.2,0.302,10.4,16.4,0.631,10.4,22.9,33.3,13.8,7.2,2.7,14.6,18.9,2013,Lithuanian-LKL,0
12,Kedainiai Nevezis,22,40.0,68.8,26.0,59.2,0.439,5.9,17.1,0.346,11.0,15.6,0.703,8.1,22.4,30.5,11.5,6.7,3.0,17.5,21.5,2013,Lithuanian-LKL,0
