#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,AEK Larnaca,24,40.0,83.8,30.8,61.8,0.498,8.1,22.8,0.354,14.1,19.3,0.732,8.3,26.1,34.3,20.0,6.3,2.3,12.9,20.7,2018,Cypriot-Division-A,1
2,Keravnos Strovolou,25,40.0,79.4,29.4,59.3,0.496,7.9,20.2,0.392,12.7,17.3,0.732,7.6,25.9,33.4,20.3,7.4,1.6,13.7,20.4,2018,Cypriot-Division-A,0
3,APOEL Nicosia,25,40.2,79.4,29.0,60.0,0.482,7.4,21.1,0.349,13.9,21.0,0.661,9.0,22.2,31.2,18.3,7.0,2.0,14.6,22.8,2018,Cypriot-Division-A,0
4,Michelin Etha Engomis,20,40.4,74.1,27.1,65.0,0.416,6.6,21.2,0.309,13.5,19.4,0.695,10.9,22.2,33.0,12.7,5.9,2.3,13.0,20.3,2018,Cypriot-Division-A,0
5,Enosis Neon Paralimni,23,40.2,73.0,27.4,67.2,0.408,7.2,25.4,0.283,10.9,15.9,0.686,9.8,22.9,32.7,14.0,8.9,2.7,11.0,19.5,2018,Cypriot-Division-A,0
6,Apop Paphou,18,40.2,71.6,25.8,62.7,0.412,6.7,21.9,0.306,13.2,19.6,0.673,10.4,23.1,33.4,15.3,5.2,1.9,16.1,17.6,2018,Cypriot-Division-A,0
7,Apollon Limassol BC,21,40.0,69.8,25.0,60.6,0.413,6.4,23.1,0.276,13.4,20.1,0.667,10.4,22.0,32.4,13.7,6.9,2.2,13.0,18.0,2018,Cypriot-Division-A,0
