#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Phoenix Hagen,34,40.1,85.4,29.6,65.1,0.454,8.9,24.5,0.364,17.4,23.8,0.73,9.1,21.1,30.3,14.5,6.7,2.9,13.2,21.8,2011,German-BBL,0
2,ALBA Berlin,49,40.2,81.7,28.7,58.4,0.492,6.8,18.4,0.369,17.5,22.8,0.769,6.8,21.4,28.2,17.3,5.6,1.8,11.9,22.5,2011,German-BBL,0
3,Brose Baskets Bamberg,47,40.0,81.4,27.6,58.7,0.47,9.2,23.3,0.396,17.0,22.8,0.746,7.4,24.6,32.0,16.6,5.9,3.8,11.5,19.2,2011,German-BBL,1
4,Ratiopharm Ulm,34,40.6,81.0,28.5,62.8,0.454,6.2,18.3,0.341,17.8,23.7,0.753,10.5,24.3,34.7,13.0,4.2,3.8,15.2,20.5,2011,German-BBL,0
5,Artland Dragons,44,39.9,79.5,27.2,58.0,0.469,7.6,20.0,0.379,17.4,23.0,0.758,8.3,24.4,32.8,14.3,5.0,3.2,14.2,20.7,2011,German-BBL,0
6,MHP Riesen,34,40.3,79.4,27.0,57.5,0.469,6.6,17.9,0.367,18.8,24.0,0.784,7.1,21.9,29.0,14.0,4.8,1.4,13.2,19.6,2011,German-BBL,0
7,Eisbaren Bremerhaven,37,40.1,78.2,28.6,62.3,0.459,6.1,17.9,0.341,14.9,21.3,0.701,8.5,22.6,31.1,16.9,6.5,2.4,11.9,20.5,2011,German-BBL,0
8,Basketball Lowen Braunschweig,39,40.0,77.6,27.8,57.5,0.483,7.1,20.9,0.338,14.9,21.0,0.709,8.4,21.8,30.2,14.6,6.5,3.2,13.3,20.7,2011,German-BBL,0
9,Fraport Skyliners,42,40.1,76.8,26.3,59.0,0.445,7.5,22.8,0.329,16.8,22.5,0.747,9.9,22.6,32.5,13.6,5.5,2.1,12.8,21.6,2011,German-BBL,0
10,EWE Baskets Oldenburg,39,39.9,76.8,27.3,59.8,0.456,7.6,22.5,0.337,14.6,20.2,0.721,8.3,21.4,29.6,14.6,6.7,3.0,13.7,21.4,2011,German-BBL,0
11,Walter Tigers Tubingen,34,40.1,76.5,27.6,61.1,0.451,6.1,19.1,0.322,15.2,22.9,0.665,9.4,22.9,32.4,15.3,5.7,2.6,13.2,21.5,2011,German-BBL,0
12,Medi Bayreuth,34,40.3,74.4,26.8,59.1,0.453,7.1,18.8,0.376,13.7,19.4,0.707,7.7,20.8,28.5,13.0,4.2,1.9,13.5,21.5,2011,German-BBL,0
13,Telekom Baskets Bonn,34,39.7,74.3,25.7,57.8,0.445,5.8,18.2,0.318,17.2,23.6,0.729,8.7,21.6,30.3,11.2,5.3,2.2,14.6,23.1,2011,German-BBL,0
14,BG Gottingen,37,40.1,72.9,26.4,61.8,0.426,6.9,22.5,0.306,13.3,20.9,0.638,10.4,22.0,32.4,11.4,5.4,2.7,12.1,22.8,2011,German-BBL,0
15,Gladiators Trier,34,40.4,70.0,25.3,56.7,0.446,6.1,18.1,0.334,13.4,19.5,0.684,8.5,21.2,29.7,12.2,4.9,2.2,12.8,20.2,2011,German-BBL,0
16,Giessen 46ers,34,40.1,69.6,26.0,57.8,0.45,5.0,15.2,0.327,12.7,17.9,0.71,8.0,21.0,28.9,12.7,6.3,1.3,14.7,21.2,2011,German-BBL,0
17,Mitteldeutscher BC,34,40.6,68.8,24.3,57.3,0.423,6.3,21.4,0.293,14.0,20.4,0.685,9.2,20.1,29.3,11.3,5.9,1.4,14.3,23.0,2011,German-BBL,0
18,Duesseldorf Baskets,34,40.3,66.1,23.6,58.8,0.402,6.4,20.6,0.312,12.5,18.6,0.671,8.4,21.1,29.4,11.2,6.1,1.5,14.3,19.9,2011,German-BBL,0
