Season,Champions,Runners-up,Finals score
2016–17,Link Tochigi Brex (2),Kawasaki Brave Thunders (1),85–79
2017–18,Alvark Tokyo (3),Chiba Jets Funabashi (2),85–60
2018–19,Alvark Tokyo (4),Chiba Jets Funabashi (1),71–67
2019–20,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic,Cancelled due to the COVID-19 pandemic
2020–21,Chiba Jets Funabashi (2),Utsunomiya Brex (1),2–1 (best-of-three series)
2021–22,Utsunomiya Brex (2),Ryukyu Golden Kings (1),2–0 (best-of-three series)
2022–23,TBD,TBD,TBD
