#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Norrkoping,46,40.1,92.5,32.9,69.5,0.473,11.2,32.3,0.346,15.5,21.2,0.73,9.5,27.0,36.5,19.0,9.2,3.2,12.7,17.9,2022,Swedish-Basketligan,1
2,BC LF Lulea,40,40.2,89.4,32.2,67.3,0.478,10.7,28.3,0.377,14.4,18.6,0.77,7.4,26.4,33.7,17.2,7.4,3.2,13.4,19.6,2022,Swedish-Basketligan,0
3,Boras Basket,35,40.2,88.3,29.7,66.5,0.447,11.6,32.5,0.358,17.3,21.8,0.793,9.0,25.0,34.0,17.7,5.7,2.2,10.9,19.3,2022,Swedish-Basketligan,0
4,Sodertalje,41,40.4,84.6,30.4,65.3,0.466,9.9,26.0,0.379,13.9,18.6,0.747,8.5,25.0,33.5,16.5,5.5,2.4,10.7,21.7,2022,Swedish-Basketligan,0
5,Jamtland Basket,47,40.3,83.4,31.1,62.8,0.495,8.0,22.3,0.356,13.3,17.7,0.75,7.4,26.9,34.3,19.5,6.2,2.0,12.4,20.3,2022,Swedish-Basketligan,0
6,KFUM Nassjo Basket,36,40.3,81.7,30.2,67.7,0.445,9.7,28.6,0.338,11.7,17.3,0.677,9.7,26.0,35.7,14.0,5.6,2.6,12.9,19.6,2022,Swedish-Basketligan,0
7,UMEA Bskt,35,40.0,80.9,28.8,66.9,0.431,8.5,26.5,0.32,14.8,20.0,0.74,8.2,23.4,31.6,15.3,6.9,2.6,12.8,19.8,2022,Swedish-Basketligan,0
8,Koping Stars,34,40.3,79.5,29.4,66.4,0.443,8.4,25.9,0.326,12.3,16.9,0.724,8.1,26.3,34.4,17.1,5.1,3.2,12.6,19.2,2022,Swedish-Basketligan,0
9,KFUM Fryshuset Basket,32,40.0,68.1,25.9,66.9,0.387,6.5,23.8,0.273,9.8,14.7,0.67,8.8,24.2,33.0,14.0,6.2,1.8,15.4,18.8,2022,Swedish-Basketligan,0
