#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Virtus Bologna,3,40.0,82.7,29.0,60.0,0.483,9.0,26.3,0.342,15.7,22.3,0.701,10.3,24.3,34.7,20.3,5.7,1.7,12.7,21.7,2023,Italian-Cup,0
2,OpenJobMetis Varese,1,40.0,80.0,26.0,60.0,0.433,7.0,31.0,0.226,21.0,26.0,0.808,8.0,23.0,31.0,15.0,7.0,3.0,23.0,24.0,2023,Italian-Cup,0
3,Gemani Basket Brescia,3,40.0,77.7,24.3,56.0,0.435,7.0,23.3,0.3,22.0,26.0,0.846,7.7,25.3,33.0,13.3,6.7,2.3,12.3,22.7,2023,Italian-Cup,1
4,AX Armani Exchange Milan,1,40.0,72.0,24.0,59.0,0.407,10.0,32.0,0.313,14.0,16.0,0.875,9.0,26.0,35.0,16.0,5.0,1.0,17.0,22.0,2023,Italian-Cup,0
5,Carpegna Prosciutto Basket Pesaro,2,40.0,70.5,22.0,66.0,0.333,7.5,31.0,0.242,19.0,25.5,0.745,11.0,25.0,36.0,15.0,12.0,2.0,14.0,26.5,2023,Italian-Cup,0
6,Dolomiti Energia Trento,1,40.0,70.0,28.0,72.0,0.389,7.0,26.0,0.269,7.0,11.0,0.636,10.0,25.0,35.0,16.0,7.0,3.0,11.0,20.0,2023,Italian-Cup,0
7,Bertram Tortona,2,40.0,69.5,24.5,62.0,0.395,8.0,26.0,0.308,12.5,17.0,0.735,9.0,26.5,35.5,16.5,7.5,2.0,13.5,14.5,2023,Italian-Cup,0
8,Umana Venezia,1,40.0,68.0,27.0,67.0,0.403,6.0,31.0,0.194,8.0,15.0,0.533,12.0,21.0,33.0,17.0,8.0,4.0,12.0,23.0,2023,Italian-Cup,0
