#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Banco di Sardegna Sassari,1,45.0,89.0,29.0,66.0,0.439,7.0,26.0,0.269,24.0,29.0,0.828,6.0,29.0,35.0,16.0,10.0,1.0,20.0,26.0,2016,Italian-Cup,0
2,Grissin Bon Reggio Emilia,1,40.0,87.0,33.0,71.0,0.465,9.0,27.0,0.333,12.0,17.0,0.706,11.0,14.0,25.0,18.0,8.0,1.0,8.0,23.0,2016,Italian-Cup,0
3,AX Armani Exchange Milan,3,40.0,86.7,30.0,66.0,0.455,10.0,26.3,0.38,16.7,20.0,0.833,15.7,27.3,43.0,17.7,9.0,1.7,16.3,23.0,2016,Italian-Cup,1
4,Sidigas Avellino,3,40.0,80.3,27.7,57.3,0.483,7.3,19.7,0.373,17.7,21.7,0.815,9.0,24.7,33.7,16.7,6.0,2.7,16.0,18.3,2016,Italian-Cup,0
5,Vanoli Cremona,2,42.5,77.5,26.0,67.0,0.388,9.0,30.0,0.3,16.5,24.5,0.673,8.0,21.5,29.5,14.5,9.5,2.0,15.0,26.5,2016,Italian-Cup,0
6,Dolomiti Energia Trento,2,40.0,75.0,30.0,70.5,0.426,8.0,21.0,0.381,7.0,10.5,0.667,15.0,20.5,35.5,15.0,10.0,3.0,14.5,17.5,2016,Italian-Cup,0
7,Georgio Tesi Group Pistoia,1,40.0,74.0,31.0,73.0,0.425,6.0,30.0,0.2,6.0,7.0,0.857,14.0,20.0,34.0,15.0,8.0,0.0,18.0,15.0,2016,Italian-Cup,0
8,Umana Venezia,1,40.0,59.0,23.0,56.0,0.411,7.0,28.0,0.25,6.0,12.0,0.5,9.0,14.0,23.0,16.0,5.0,1.0,21.0,21.0,2016,Italian-Cup,0
