#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Telekom Baskets Bonn,1,40,95,37,69,0.536,10,25,0.4,11,13,0.846,7,19,26,15,6,1,11,27,2023,German-Cup,0
2,ALBA Berlin,3,40,91.3,29.3,57,0.515,9.3,25.7,0.364,23.3,31,0.753,10,21.3,31.3,22,6.7,2.3,15.7,19,2023,German-Cup,0
3,MHP Riesen,3,40,91,30.7,66.3,0.462,13,31.3,0.415,16.7,24.3,0.685,9.7,24.3,34,17.7,8.3,2,13.7,17.7,2023,German-Cup,0
4,s.Oliver Baskets,1,40,87,31,64,0.484,6,28,0.214,19,25,0.76,11,18,29,13,10,6,15,27,2023,German-Cup,0
5,EWE Baskets Oldenburg,4,40,86.5,30.3,65,0.465,10.8,28.3,0.381,15.3,19.3,0.792,11,21.3,32.3,18.3,5.8,2.3,13,20.8,2023,German-Cup,0
6,Hamburg Towers,1,40,86,31,70,0.443,11,28,0.393,13,24,0.542,14,27,41,23,8,3,21,28,2023,German-Cup,0
7,Bayern Munich,4,40,84.5,28.8,58.3,0.494,11.3,29.3,0.385,15.8,18.8,0.84,7.5,21.5,29,14.5,8.8,2,13.5,20,2023,German-Cup,1
8,MLP Academics Heidelberg,2,42.5,84,25.5,67,0.381,13.5,39.5,0.342,19.5,24.5,0.796,7.5,23,30.5,15,8.5,1.5,12,23,2023,German-Cup,0
9,Basketball Lowen Braunschweig,1,45,84,30,70,0.429,7,27,0.259,17,29,0.586,12,36,48,20,5,3,19,27,2023,German-Cup,0
10,Ratiopharm Ulm,1,40,82,32,65,0.492,5,26,0.192,13,18,0.722,8,22,30,15,14,1,19,22,2023,German-Cup,0
11,BG Goettingen,2,39.5,78.5,24.5,58.5,0.419,8,25.5,0.314,21.5,27,0.796,6.5,18.5,25,17.5,9.5,0,18,26,2023,German-Cup,0
12,HARKO Merlins Crailsheim,2,40,77.5,29,65,0.446,8.5,32,0.266,11,13,0.846,6.5,22.5,29,14,6.5,0,14.5,21,2023,German-Cup,0
13,BV Chemnitz 99,1,40,72,26,54,0.481,11,32,0.344,9,17,0.529,6,24,30,21,6,3,22,20,2023,German-Cup,0
14,Medi Bayreuth,2,39.5,69,23.5,60,0.392,7,25,0.28,15,20,0.75,8.5,15.5,24,9.5,7.5,1,12,19,2023,German-Cup,0
15,Mitteldeutscher BC,1,40,69,25,55,0.455,3,18,0.167,16,21,0.762,10,23,33,16,6,2,18,23,2023,German-Cup,0
16,Brose Baskets Bamberg,1,40,68,22,51,0.431,9,22,0.409,15,18,0.833,9,20,29,11,4,2,18,18,2023,German-Cup,0
