#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,KK Kumanovo,31,40.3,85.8,31.4,61.8,0.508,7.6,21.7,0.35,15.4,21.3,0.721,7.3,25.4,32.7,18.0,4.7,3.0,11.9,21.4,2015,Macedonian-Superleague,0
2,KK Rabotnicki AD Skipje,27,40.3,85.3,30.4,63.0,0.483,10.4,28.6,0.362,14.1,19.1,0.736,9.0,23.1,32.2,20.5,7.2,1.1,10.7,21.2,2015,Macedonian-Superleague,0
3,MZT Skopje Aerodrom,30,39.5,84.9,31.5,68.1,0.463,9.3,26.4,0.352,12.6,18.7,0.672,11.9,25.3,37.2,15.9,6.9,3.1,9.6,23.4,2015,Macedonian-Superleague,1
4,Karpos Sokoli,26,40.5,81.2,30.2,65.1,0.463,8.6,25.1,0.344,12.3,18.3,0.669,8.0,22.9,30.9,16.7,7.5,2.2,11.1,21.0,2015,Macedonian-Superleague,0
5,KK Feni Industries,28,39.1,79.3,29.6,60.7,0.487,7.9,22.2,0.357,12.2,17.6,0.692,9.4,26.4,35.8,17.5,5.8,3.2,11.4,21.1,2015,Macedonian-Superleague,0
6,Kozuv Gevgelija,26,40.0,78.2,28.4,63.5,0.448,7.0,22.7,0.311,14.3,21.0,0.68,8.7,24.5,33.2,15.7,6.5,2.5,11.3,22.8,2015,Macedonian-Superleague,0
7,KK Goce Delchev,20,40.6,70.7,26.0,63.1,0.412,5.3,19.9,0.267,13.5,20.4,0.659,9.6,22.6,32.2,16.7,5.2,1.4,12.6,20.0,2015,Macedonian-Superleague,0
8,Vodwanski Lisici Skipje,19,39.1,69.1,25.5,61.6,0.414,6.2,21.6,0.287,11.9,19.1,0.624,7.8,21.0,28.8,13.3,5.9,1.0,12.8,20.9,2015,Macedonian-Superleague,0
9,ABA Strumica,19,39.7,63.8,24.4,60.6,0.403,4.7,17.8,0.265,10.3,15.6,0.657,8.2,21.3,29.4,13.1,6.1,1.8,14.9,18.8,2015,Macedonian-Superleague,0
