#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Nanterre 92,1,55.0,96.0,35.0,83.0,0.422,12.0,29.0,0.414,14.0,20.0,0.7,10.0,30.0,40.0,25.0,7.0,4.0,14.0,22.0,2015,French-Leaders-Cup-LNB-A,0
2,JDA Dijon Basket,2,42.5,76.0,27.5,64.0,0.43,5.5,21.5,0.256,15.5,19.5,0.795,8.0,23.5,31.5,10.0,10.5,2.0,12.0,23.0,2015,French-Leaders-Cup-LNB-A,0
3,Le Mans Sarthe Basket,3,45.0,73.3,26.3,58.0,0.454,5.0,17.7,0.283,15.7,20.0,0.783,6.3,23.7,30.0,13.0,5.7,2.3,12.3,20.7,2015,French-Leaders-Cup-LNB-A,0
4,Strasbourg IG,3,41.7,70.7,25.0,60.7,0.412,6.3,21.7,0.292,14.3,17.0,0.843,11.0,24.0,35.0,19.0,7.0,3.7,13.3,22.0,2015,French-Leaders-Cup-LNB-A,1
5,Nancy Basket,2,40.0,69.5,24.5,59.0,0.415,8.5,20.0,0.425,12.0,17.5,0.686,11.0,19.0,30.0,16.5,5.5,3.0,10.0,24.0,2015,French-Leaders-Cup-LNB-A,0
6,CSP Limoges,1,40.0,68.0,24.0,59.0,0.407,4.0,16.0,0.25,16.0,24.0,0.667,11.0,19.0,30.0,20.0,6.0,2.0,9.0,21.0,2015,French-Leaders-Cup-LNB-A,0
7,Boulogne-Levallois,1,40.0,66.0,22.0,51.0,0.431,9.0,25.0,0.36,13.0,20.0,0.65,6.0,27.0,33.0,21.0,4.0,5.0,19.0,20.0,2015,French-Leaders-Cup-LNB-A,0
8,STB Le Havre,1,40.0,57.0,21.0,55.0,0.382,6.0,18.0,0.333,9.0,17.0,0.529,7.0,18.0,25.0,11.0,6.0,3.0,12.0,14.0,2015,French-Leaders-Cup-LNB-A,0
