#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,AS Monaco Basket,3,40.0,85.0,31.7,63.3,0.5,7.0,18.0,0.389,14.7,18.3,0.8,9.7,21.7,31.3,19.3,10.0,2.0,13.0,21.3,2018,French-Leaders-Cup-LNB-A,1
2,Nanterre 92,2,40.0,79.0,27.5,64.0,0.43,11.0,30.0,0.367,13.0,16.5,0.788,8.5,21.0,29.5,19.0,3.5,2.0,7.5,23.0,2018,French-Leaders-Cup-LNB-A,0
3,Le Mans Sarthe Basket,3,40.0,77.0,27.0,62.0,0.435,7.0,20.0,0.35,16.0,22.0,0.727,8.0,27.7,35.7,18.7,5.0,3.3,8.7,13.7,2018,French-Leaders-Cup-LNB-A,0
4,CSP Limoges,1,40.0,74.0,25.0,60.0,0.417,6.0,22.0,0.273,18.0,19.0,0.947,11.0,22.0,33.0,18.0,3.0,4.0,9.0,24.0,2018,French-Leaders-Cup-LNB-A,0
5,ASVEL Basket,2,40.0,71.5,24.5,58.0,0.422,7.5,21.0,0.357,15.0,17.5,0.857,9.0,18.5,27.5,12.5,9.5,2.0,15.5,22.0,2018,French-Leaders-Cup-LNB-A,0
6,Strasbourg IG,1,40.0,70.0,26.0,57.0,0.456,7.0,19.0,0.368,11.0,17.0,0.647,6.0,25.0,31.0,16.0,8.0,1.0,15.0,21.0,2018,French-Leaders-Cup-LNB-A,0
7,JL Bourg-en-Bresse,1,40.0,66.0,23.0,51.0,0.451,5.0,20.0,0.25,15.0,23.0,0.652,4.0,19.0,23.0,14.0,4.0,0.0,21.0,19.0,2018,French-Leaders-Cup-LNB-A,0
8,Cholet Basket,1,40.0,61.0,24.0,63.0,0.381,5.0,18.0,0.278,8.0,13.0,0.615,8.0,27.0,35.0,20.0,3.0,3.0,10.0,14.0,2018,French-Leaders-Cup-LNB-A,0
