#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,London Lightning,56,48.0,109.0,38.7,83.5,0.463,10.7,29.9,0.356,21.0,29.0,0.723,12.1,30.2,42.4,22.8,8.3,3.5,15.5,27.0,2016,Canadian-NBL,0
2,Halifax Hurricanes,53,48.1,107.6,38.0,77.1,0.493,9.1,24.6,0.37,22.5,29.7,0.758,11.0,30.6,41.6,21.0,8.6,3.6,17.5,29.5,2016,Canadian-NBL,1
3,Saint John Riptide,46,48.3,107.4,37.1,83.7,0.443,10.3,31.2,0.33,22.9,30.6,0.75,12.3,28.2,40.5,21.5,7.1,5.2,15.2,23.8,2016,Canadian-NBL,0
4,Moncton Magic,42,47.7,107.0,38.5,83.3,0.463,8.6,25.5,0.336,21.4,30.5,0.7,12.7,29.9,42.6,19.9,8.3,2.7,17.4,27.1,2016,Canadian-NBL,0
5,Orangeville A's,42,48.1,105.5,38.6,85.9,0.45,9.0,28.2,0.32,19.2,27.1,0.707,12.4,30.1,42.5,25.8,8.4,2.9,17.7,25.8,2016,Canadian-NBL,0
6,Niagara River Lions,43,47.8,104.0,37.5,84.4,0.444,8.8,26.3,0.335,20.3,28.3,0.717,13.8,33.2,47.0,23.1,8.0,4.4,19.4,22.9,2016,Canadian-NBL,0
7,Island Storm,42,47.8,102.2,37.2,82.6,0.451,7.6,21.1,0.361,20.1,30.1,0.667,14.0,28.7,42.7,21.8,9.0,3.6,17.5,25.5,2016,Canadian-NBL,0
8,Windsor Express,49,48.1,101.4,37.3,83.9,0.445,9.8,30.8,0.317,16.9,23.4,0.723,12.2,30.9,43.1,25.1,9.6,5.2,16.7,26.6,2016,Canadian-NBL,0
